ref_area,sex,classif1,time,obs_value
ALB,SEX_T,AGE_YTHADULT_YGE15,2015,17.192999999999998
ALB,SEX_T,AGE_YTHADULT_Y15-64,2015,17.5806
ALB,SEX_T,AGE_YTHADULT_Y15-24,2015,39.9773
ALB,SEX_T,AGE_YTHADULT_YGE25,2015,14.1981
ALB,SEX_M,AGE_YTHADULT_YGE15,2015,17.2469
ALB,SEX_M,AGE_YTHADULT_Y15-64,2015,17.6939
ALB,SEX_M,AGE_YTHADULT_Y15-24,2015,39.5348
ALB,SEX_M,AGE_YTHADULT_YGE25,2015,13.8183
ALB,SEX_F,AGE_YTHADULT_YGE15,2015,17.1211
ALB,SEX_F,AGE_YTHADULT_Y15-64,2015,17.4311
ALB,SEX_F,AGE_YTHADULT_Y15-24,2015,40.8206
ALB,SEX_F,AGE_YTHADULT_YGE25,2015,14.6824
ALB,SEX_T,AGE_YTHADULT_YGE15,2016,15.4176
ALB,SEX_T,AGE_YTHADULT_Y15-64,2016,15.8059
ALB,SEX_T,AGE_YTHADULT_Y15-24,2016,36.6129
ALB,SEX_T,AGE_YTHADULT_YGE25,2016,12.9645
ALB,SEX_M,AGE_YTHADULT_YGE15,2016,16.1412
ALB,SEX_M,AGE_YTHADULT_Y15-64,2016,16.6448
ALB,SEX_M,AGE_YTHADULT_Y15-24,2016,37.6935
ALB,SEX_M,AGE_YTHADULT_YGE25,2016,13.3745
ALB,SEX_F,AGE_YTHADULT_YGE15,2016,14.4709
ALB,SEX_F,AGE_YTHADULT_Y15-64,2016,14.7244
ALB,SEX_F,AGE_YTHADULT_Y15-24,2016,34.8377
ALB,SEX_F,AGE_YTHADULT_YGE25,2016,12.4418
ALB,SEX_T,AGE_YTHADULT_YGE15,2017,13.6158
ALB,SEX_T,AGE_YTHADULT_Y15-64,2017,13.9826
ALB,SEX_T,AGE_YTHADULT_Y15-24,2017,31.6098
ALB,SEX_T,AGE_YTHADULT_YGE25,2017,11.5882
ALB,SEX_M,AGE_YTHADULT_YGE15,2017,14.442
ALB,SEX_M,AGE_YTHADULT_Y15-64,2017,14.931
ALB,SEX_M,AGE_YTHADULT_Y15-24,2017,33.6795
ALB,SEX_M,AGE_YTHADULT_YGE25,2017,11.9544
ALB,SEX_F,AGE_YTHADULT_YGE15,2017,12.504000000000001
ALB,SEX_F,AGE_YTHADULT_Y15-64,2017,12.7156
ALB,SEX_F,AGE_YTHADULT_Y15-24,2017,27.7885
ALB,SEX_F,AGE_YTHADULT_YGE25,2017,11.1122
ALB,SEX_T,AGE_YTHADULT_YGE15,2018,12.3038
ALB,SEX_T,AGE_YTHADULT_Y15-64,2018,12.7767
ALB,SEX_T,AGE_YTHADULT_Y15-24,2018,28.1274
ALB,SEX_T,AGE_YTHADULT_YGE25,2018,10.1951
ALB,SEX_M,AGE_YTHADULT_YGE15,2018,12.63
ALB,SEX_M,AGE_YTHADULT_Y15-64,2018,13.1656
ALB,SEX_M,AGE_YTHADULT_Y15-24,2018,29.5083
ALB,SEX_M,AGE_YTHADULT_YGE25,2018,10.0823
ALB,SEX_F,AGE_YTHADULT_YGE15,2018,11.8833
ALB,SEX_F,AGE_YTHADULT_Y15-64,2018,12.2812
ALB,SEX_F,AGE_YTHADULT_Y15-24,2018,25.796
ALB,SEX_F,AGE_YTHADULT_YGE25,2018,10.3354
ALB,SEX_T,AGE_YTHADULT_YGE15,2019,11.4655
ALB,SEX_T,AGE_YTHADULT_Y15-64,2019,11.9473
ALB,SEX_T,AGE_YTHADULT_Y15-24,2019,26.9775
ALB,SEX_T,AGE_YTHADULT_YGE25,2019,9.4739
ALB,SEX_M,AGE_YTHADULT_YGE15,2019,11.5848
ALB,SEX_M,AGE_YTHADULT_Y15-64,2019,12.1299
ALB,SEX_M,AGE_YTHADULT_Y15-24,2019,27.7635
ALB,SEX_M,AGE_YTHADULT_YGE25,2019,9.3668
ALB,SEX_F,AGE_YTHADULT_YGE15,2019,11.3161
ALB,SEX_F,AGE_YTHADULT_Y15-64,2019,11.720999999999998
ALB,SEX_F,AGE_YTHADULT_Y15-24,2019,25.8505
ALB,SEX_F,AGE_YTHADULT_YGE25,2019,9.6057
ARE,SEX_T,AGE_YTHADULT_YGE15,2016,1.6355019801
ARE,SEX_M,AGE_YTHADULT_YGE15,2016,1.0708512462
ARE,SEX_F,AGE_YTHADULT_YGE15,2016,4.0204489031
ARE,SEX_T,AGE_YTHADULT_YGE15,2017,2.463
ARE,SEX_T,AGE_YTHADULT_Y15-64,2017,2.469
ARE,SEX_T,AGE_YTHADULT_Y15-24,2017,7.6979999999999995
ARE,SEX_T,AGE_YTHADULT_YGE25,2017,1.9022
ARE,SEX_M,AGE_YTHADULT_YGE15,2017,1.4115
ARE,SEX_M,AGE_YTHADULT_Y15-64,2017,1.4128
ARE,SEX_M,AGE_YTHADULT_Y15-24,2017,6.0411
ARE,SEX_M,AGE_YTHADULT_YGE25,2017,0.9339
ARE,SEX_F,AGE_YTHADULT_YGE15,2017,6.8072
ARE,SEX_F,AGE_YTHADULT_Y15-64,2017,6.8232
ARE,SEX_F,AGE_YTHADULT_Y15-24,2017,13.5106
ARE,SEX_F,AGE_YTHADULT_YGE25,2017,5.9775
ARE,SEX_T,AGE_YTHADULT_YGE15,2019,2.227
ARE,SEX_T,AGE_YTHADULT_Y15-64,2019,2.238
ARE,SEX_T,AGE_YTHADULT_Y15-24,2019,7.1892
