Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_MKTP_CD,NY_GDP_PCAP_CD,NY_GDP_MKTP_KD_ZG,200343,200144,200345,200151,SP_RUR_TOTL_ZS,200101
ABW,76.0,,2965921788.0,28281.0,2.1,19.0,15.0,57.0,13.0,57.0,105.0
AFG,64.0,51.0,19362642267.0,547.0,2.3,15665.0,7560.0,11267.0,892.0,75.0,35383.0
AGO,60.0,56.0,101123851090.0,3506.0,-2.6,13571.0,5564.0,9055.0,652.0,36.0,28842.0
AIA,,,,,,3.0,2.0,8.0,1.0,,14.0
ALB,78.0,8.0,11861200797.0,4124.0,3.3,531.0,485.0,1497.0,374.0,42.0,2886.0
ARE,77.0,7.0,357045064670.0,38142.0,3.1,1347.0,1066.0,6856.0,92.0,14.0,9361.0
ARG,76.0,10.0,557531376218.0,12790.0,-2.1,10912.0,7025.0,20846.0,4725.0,8.0,43508.0
ARM,75.0,12.0,10546135160.0,3592.0,0.2,595.0,401.0,1618.0,322.0,37.0,2936.0
ASM,,,652000000.0,11697.0,-2.8,18.0,11.0,24.0,3.0,13.0,56.0
ATG,77.0,5.0,1436585185.0,15198.0,5.5,21.0,15.0,50.0,8.0,75.0,95.0
AUS,82.0,3.0,1208846993740.0,49971.0,2.8,4598.0,3155.0,12835.0,3674.0,14.0,24263.0
AUT,82.0,3.0,395227684139.0,45238.0,2.1,1240.0,1002.0,4852.0,1654.0,42.0,8747.0
AZE,72.0,22.0,37867518957.0,3881.0,-3.1,2253.0,1554.0,5362.0,568.0,45.0,9736.0
BDI,61.0,44.0,2959640987.0,282.0,-0.6,4779.0,2090.0,3396.0,224.0,88.0,10488.0
BEL,81.0,3.0,475900865684.0,41998.0,1.5,1932.0,1320.0,6016.0,2086.0,2.0,11354.0
BEN,61.0,63.0,11821066153.0,1087.0,3.3,4660.0,2158.0,3702.0,352.0,54.0,10872.0
BFA,60.0,52.0,12822558022.0,688.0,6.0,8463.0,3722.0,6012.0,449.0,72.0,18646.0
BGD,72.0,28.0,221415162446.0,1402.0,7.1,45423.0,30515.0,73926.0,8113.0,65.0,157977.0
BGR,75.0,7.0,53785050339.0,7546.0,3.8,1024.0,672.0,3995.0,1461.0,26.0,7152.0
BHR,77.0,6.0,32250132979.0,22619.0,3.5,291.0,188.0,914.0,33.0,11.0,1426.0
BHS,73.0,9.0,11938400000.0,31589.0,0.4,88.0,66.0,198.0,26.0,17.0,378.0
BIH,77.0,5.0,16913330694.0,4995.0,3.1,,,,,52.0,
