"LOCAL","ANO","DESEMPREGO","POBREZA"
"ALB","2015","17.5806","0.111281772"
"ALB","2016","15.8059","0.096977636"
"ALB","2017","13.9826","0.082191396"
"ALB","2018","12.7767","0.071000662"
"ALB","2019","11.9473","0.06046334"
"ARE","2017","2.469",
"ARE","2019","2.238",
"ARG","2017","8.5335","0.130183966"
"ARG","2018","9.3666","0.124672942"
"ARG","2019","10.0923","0.118849169"
"ARM","2015","18.8186","0.557819463"
"ARM","2016","18.1652","0.445678218"
"ARM","2017","18.2708","0.337985213"
"ARM","2018","19.3374","0.316066856"
"AZE","2015","4.99","0.025339974"
"AZE","2019","4.89","0.027039065"
"BFA","2018","4.8202","36.1357911"
"BGD","2016","4.5","12.42515919"
"BGD","2017","4.5476","11.34919429"
"BIH","2015","28.2276","0.010747945"
"BIH","2016","25.7653","0.01014991"
"BIH","2017","21.0912","0.009373606"
"BIH","2018","18.8758","0.008450448"
"BIH","2019","16.398","0.007881833"
"BLR","2016","5.88","0.09970438"
"BLR","2017","5.63","0.099797166"
"BLR","2018","4.77","0.109227339"
"BLR","2019","4.13","0.106103969"
"BLZ","2015","7.7024","2.554092549"
"BLZ","2016","7.1854","2.671062722"
"BLZ","2017","6.7931","2.517075156"
"BOL","2016","3.7137","7.326339584"
"BOL","2017","3.9251","6.263383665"
"BOL","2018","3.8059","6.339130388"
"BOL","2015","3.316","6.616219875"
"BOL","2019","4.0748","5.681659282"
"BRA","2015","8.6215","0.901241697"
"BRA","2016","11.8631","1.576293478"
"BRA","2017","13.1174","2.050643243"
"BRA","2018","12.6333","1.924865009"
"BRA","2019","12.2362","1.791508247"
"BRB","2015","11.67","0.072555509"
"BRB","2016","10.02","0.069374414"
"BRN","2017","9.4013",
"BRN","2018","8.813",
"BRN","2019","7.0226",
"BTN","2015","2.58","2.209172671"
"CHL","2015","6.7676","0.325459885"
"CHL","2016","7.0516","0.245331232"
"CHL","2017","7.3041","0.18777186"
"CHL","2018","7.6291","0.17332807"
"CHL","2019","7.6957","0.159759789"
"CIV","2016","2.6346","25.5174206"
"CIV","2017","3.3429","23.74383791"
"COL","2015","8.5372","2.368789545"
"COL","2016","8.9558","2.356552718"
"COL","2017","9.1648","1.847371006"
"COL","2018","9.3937","1.683753871"
"COL","2019","10.2575","1.514278978"
"CPV","2015","31.6714","2.911901082"
"CPV","2017","12.42","2.487700918"
"CPV","2018","12.35","2.173202535"
"CPV","2019","11.41","1.999856367"
"CRI","2015","9.2114","0.451536337"
"CRI","2016","8.7534","0.317971911"
"CRI","2017","8.3114","0.247842789"
"CRI","2018","9.87","0.224589166"
"CRI","2019","11.7424","0.201511196"
"DOM","2015","7.9468","1.229242234"
"DOM","2016","7.6059","1.086507635"
"DOM","2017","6.1171","0.989836514"
"DOM","2018","6.1567","0.888243204"
"DOM","2019","6.7447","0.79949464"
"EGY","2015","13.2265","0.49290187"
"EGY","2016","12.6108","0.490300078"
"EGY","2017","11.9257","0.45486598"
"EGY","2018","9.9691","0.423240269"
"FJI","2016","4.4694","0.349268911"
"GEO","2017","15.2965","4.146848269"
"GEO","2018","13.9285","3.903054827"
"GEO","2019","12.9351","3.61404344"
"GEO","2015","18.5588","3.185181532"
"GEO","2016","18.5726","3.250307739"
"GHA","2015","7.0068","8.04793852"
"GHA","2017","4.3881","10.82575865"
"GMB","2018","10.4099","8.357783039"
"GTM","2015","2.6316","4.630245606"
"GTM","2016","2.7129","3.869116082"
"GTM","2017","2.5858","4.148241441"
"GUY","2018","14.3384","1.432248362"
"HND","2017","5.8636","13.66399058"
"HND","2018","5.9439","12.50139264"
"HND","2019","6.0426","11.54045002"
"IDN","2015","4.7196","6.974391867"
"IDN","2016","4.496","6.395232618"
"IDN","2017","4.0676","5.801424298"
"IDN","2018","4.6184","5.015674713"
"IDN","2019","3.8117","4.326279558"
"IND","2018","5.5147","11.7622361"
"IRN","2015","11.28","0.062589512"
"IRN","2016","12.67","0.067597173"
"IRN","2017","12.34","0.063979619"
"IRN","2018","12.31","0.062135843"
"IRQ","2016","10.86","0.392387217"
"IRQ","2017","13.05","0.368625636"
"JOR","2017","18.298","0.13771064"
"JOR","2018","18.4176","0.130109188"
"JOR","2019","16.8941","0.12076935"
"KAZ","2017","4.93","0.005010112"
"KEN","2016","2.9259","31.92422789"
"KGZ","2015","7.61","1.044257539"
"KGZ","2016","7.29","0.343006274"
"KGZ","2017","6.97","0.368018433"
"KGZ","2018","4.5927","0.340768278"
"KHM","2015","0.3885","16.41651954"
"KHM","2016","0.6945","13.10181591"
"KOR","2015","3.6598",
"KOR","2016","3.7766",
"KOR","2017","3.7447",
"KOR","2018","3.9184",
"KOR","2019","3.7967",
"KWT","2016","2.19","0.121832952"
"LAO","2017","9.5466","11.92515295"
"LBN","2019","11.7253","0.09522298"
"LBR","2015","2.1419","40.46678713"
"LBR","2016","3.1438","41.77739797"
"LKA","2015","4.7689","0.543372021"
"LKA","2016","4.4989","0.378056301"
"LKA","2017","4.2853","0.330556355"
"LKA","2018","4.5742","0.293518063"
"MDA","2015","4.851","0.00748595"
"MDA","2016","4.1876","0.04003137"
"MDA","2017","4.2472","0.014987059"
"MDA","2018","4.1985","0.020471442"
"MDA","2019","5.2547","0.017544278"
"MDG","2015","1.857","71.55274875"
"MDV","2016","6.1948","2.286184692"
"MEX","2015","4.4781","1.93944595"
"MEX","2016","4.0087","1.450632219"
"MEX","2017","3.5493","1.380098665"
"MEX","2018","3.4141","1.291346755"
"MEX","2019","3.6283","1.207418665"
"MKD","2015","26.3111","0.040717014"
"MKD","2016","23.9572","0.036217564"
"MKD","2017","22.5455","0.033919659"
"MKD","2018","20.9631","0.031018511"
"MKD","2019","17.4254","0.029268589"
"MLI","2015","7.9846","45.79338519"
"MLI","2016","1.4173","47.09509754"
"MLI","2017","7.6531","46.42554873"
"MLI","2018","1.6781","45.58418087"
"MMR","2015","0.779","5.94199785"
"MMR","2017","1.5795","3.898163788"
"MMR","2018","0.8835","3.258383196"
"MMR","2019","0.5102","2.724874554"
"MNE","2015","17.8172","0.109102664"
"MNE","2016","17.9909","0.101442892"
"MNE","2017","16.3612","0.097538035"
"MNE","2018","15.4802","0.093636908"
"MNE","2019","15.3949","0.08816306"
"MNG","2015","4.9039","0.088933896"
"MNG","2016","7.3115","0.142725389"
"MNG","2017","6.433","0.138920555"
"MNG","2018","5.439","0.139145368"
"MNG","2019","10.179","0.138517543"
"MOZ","2015","3.6176","57.86620783"
"MRT","2017","10.652","3.228928756"
"MUS","2015","7.5418","0.093788443"
"MUS","2016","6.9512","0.082779089"
"MUS","2017","6.9142","0.072837322"
"MUS","2018","6.548","0.063612896"
"MUS","2019","6.4708","0.056147446"
"MWI","2017","28.5888","66.38809658"
"MYS","2015","3.1","0.002507212"
"MYS","2016","3.44","0.002091948"
"MYS","2018","3.3","0.001560616"
"NAM","2016","24.0633","6.26847133"
"NAM","2018","20.7892","7.107873006"
"NER","2017","8.117","41.52433482"
"NGA","2019","8.9726","37.47015688"
"NPL","2017","11.6829","7.279352748"
"OMN","2016","3.28","0.061306413"
"PAK","2015","3.4409","3.841714126"
"PAK","2018","4.1185","2.441725509"
"PAN","2015","3.153","0.495724068"
"PAN","2016","3.4709","0.586241855"
"PAN","2017","4.1118","0.796408266"
"PAN","2018","4.0799","0.729106059"
"PAN","2019","4.9913","0.661876202"
"PHL","2015","3.1852","5.953288752"
"PHL","2016","2.8084","4.831435309"
"PHL","2017","2.6514","3.795245037"
"PHL","2018","2.4354","3.178884213"
"PHL","2019","2.3272","2.713433242"
"PRY","2015","4.73","0.473161947"
"PRY","2016","5.388","0.42058814"
"PRY","2017","4.743","0.307925836"
"PRY","2018","6.3966","0.295438133"
"PRY","2019","6.8408","0.275217541"
"PSE","2015","23.1981","0.077148605"
"PSE","2016","24.1046","0.10679712"
"PSE","2017","25.8322","0.240317027"
"PSE","2018","26.4584","0.226460634"
"PSE","2019","25.5714","0.215135294"
"RUS","2015","5.6044","0.005007456"
"RUS","2016","5.5892","0.005388045"
"RUS","2017","5.242","0.005213138"
"RUS","2018","4.8826","0.005414956"
"RUS","2019","4.5294","0.005538228"
"RWA","2017","17.4605","51.19346592"
"RWA","2018","15.2373","49.14430977"
"RWA","2019","15.5065","47.38369983"
"SAU","2015","5.66",
"SAU","2016","5.7",
"SAU","2018","6.1",
"SEN","2015","6.921","35.64187721"
"SGP","2015","3.76",
"SGP","2016","4.1",
"SLV","2015","4.1581","0.585518117"
"SLV","2016","4.6146","0.868618317"
"SLV","2017","4.5855","0.566545888"
"SLV","2018","4.2247","0.485592796"
"SLV","2019","4.3819","0.450341158"
"SRB","2015","18.2366","0.025046684"
"SRB","2016","15.9236","0.023314737"
"SRB","2017","14.056","0.020154545"
"SRB","2018","13.3063","0.016963224"
"SRB","2019","10.9285","0.015014258"
"SUR","2015","7.22","6.86814041"
"SUR","2016","7.9957","7.050061338"
"SWZ","2016","23.1855","2.816854946"
"TCD","2018","1.1961","34.95692778"
"TGO","2017","3.9603","39.45322475"
"TGO","2015","2.3112","42.09344855"
"THA","2015","0.6229","0.007509455"
"THA","2016","0.7215","0.007511137"
"THA","2017","0.87","0.007510901"
"THA","2018","0.8062","0.007132827"
"THA","2019","0.7544","0.006199624"
"TLS","2016","4.9556","22.22965374"
"TUN","2015","15.3889","0.06509684"
"TUN","2016","15.7787","0.064039144"
"TUN","2017","15.5553","0.062233473"
"TUR","2015","10.4411","0.070099753"
"TUR","2016","11.0525","0.057581045"
"TUR","2017","11.053","0.05153238"
"TUR","2018","11.1195","0.043334616"
"TUR","2019","13.9609","0.038029128"
"UGA","2017","10.0031","37.93641738"
"UKR","2015","9.24","0.030043171"
"UKR","2016","9.45","0.012518062"
"UKR","2018","9.1211","0.011132835"
"UKR","2019","8.5548","0.01029755"
"URY","2015","7.7062","0.032565963"
"URY","2016","8.0649","0.014997419"
"URY","2017","8.1399","0.012543997"
"URY","2018","8.5756","0.011658303"
"URY","2019","9.5715","0.010939029"
"VNM","2015","1.9191","2.747671122"
"VNM","2016","1.9149","2.322420974"
"VNM","2017","1.944","1.848192997"
"VNM","2018","1.2083","1.476030715"
"VNM","2019","2.0831","1.20866036"
"ZAF","2015","25.3451","5.940498548"
"ZAF","2016","26.7481","5.905949374"
"ZAF","2017","27.253","5.79288688"
"ZAF","2018","27.1441","5.685084171"
"ZAF","2019","28.7144","5.561837496"
"ZMB","2017","11.8471","49.12371889"
"ZMB","2018","12.1641","47.42351943"
"ZWE","2019","17.1125","18.44080896"
