ref_area,indicator,source,sex,classif1,time,obs_value,note_classif
AFG,SDG_A871_SEX_AGE_RT,XX:14027,SEX_T,AGE_CLDVERSION_Y5-17,2013,16.6,
AFG,SDG_A871_SEX_AGE_RT,XX:14027,SEX_M,AGE_CLDVERSION_Y5-17,2013,20.3,
AFG,SDG_A871_SEX_AGE_RT,XX:14027,SEX_F,AGE_CLDVERSION_Y5-17,2013,12.61,
AGO,SDG_A871_SEX_AGE_RT,XX:14028,SEX_T,AGE_CLDVERSION_Y5-17,2015,9.666466713,
AGO,SDG_A871_SEX_AGE_RT,XX:14028,SEX_M,AGE_CLDVERSION_Y5-17,2015,8.922872692,
AGO,SDG_A871_SEX_AGE_RT,XX:14028,SEX_F,AGE_CLDVERSION_Y5-17,2015,10.43365896,
ALB,SDG_A871_SEX_AGE_RT,XX:13994,SEX_T,AGE_CLDVERSION_Y5-17,2010,2.8,
ALB,SDG_A871_SEX_AGE_RT,XX:13994,SEX_M,AGE_CLDVERSION_Y5-17,2010,3.4,
ALB,SDG_A871_SEX_AGE_RT,XX:13994,SEX_F,AGE_CLDVERSION_Y5-17,2010,2.1,
ARM,SDG_A871_SEX_AGE_RT,XX:14029,SEX_T,AGE_CLDVERSION_Y5-17,2015,3.9,
ARM,SDG_A871_SEX_AGE_RT,XX:14029,SEX_M,AGE_CLDVERSION_Y5-17,2015,4.9,
ARM,SDG_A871_SEX_AGE_RT,XX:14029,SEX_F,AGE_CLDVERSION_Y5-17,2015,2.7,
BDI,SDG_A871_SEX_AGE_RT,XX:14025,SEX_T,AGE_CLDVERSION_Y5-14,2010,19.80316043,
BDI,SDG_A871_SEX_AGE_RT,XX:14025,SEX_M,AGE_CLDVERSION_Y5-14,2010,19.30918694,
BDI,SDG_A871_SEX_AGE_RT,XX:14025,SEX_F,AGE_CLDVERSION_Y5-14,2010,19.01283562,
BEN,SDG_A871_SEX_AGE_RT,XX:13971,SEX_T,AGE_CLDVERSION_Y5-17,2014,34.94,
BEN,SDG_A871_SEX_AGE_RT,XX:13971,SEX_M,AGE_CLDVERSION_Y5-17,2014,37.15,
BEN,SDG_A871_SEX_AGE_RT,XX:13971,SEX_F,AGE_CLDVERSION_Y5-17,2014,32.48,
BFA,SDG_A871_SEX_AGE_RT,XX:14002,SEX_T,AGE_CLDVERSION_Y5-14,2010,35.11702418,
BFA,SDG_A871_SEX_AGE_RT,XX:14002,SEX_M,AGE_CLDVERSION_Y5-14,2010,40.13006687,
BFA,SDG_A871_SEX_AGE_RT,XX:14002,SEX_F,AGE_CLDVERSION_Y5-14,2010,30.07060289,
BGD,SDG_A871_SEX_AGE_RT,XX:14030,SEX_T,AGE_CLDVERSION_Y5-17,2013,5.9,
BGD,SDG_A871_SEX_AGE_RT,XX:14030,SEX_M,AGE_CLDVERSION_Y5-17,2013,6.4,
BGD,SDG_A871_SEX_AGE_RT,XX:14030,SEX_F,AGE_CLDVERSION_Y5-17,2013,5.2,
BLR,SDG_A871_SEX_AGE_RT,XX:14017,SEX_T,AGE_CLDVERSION_Y5-14,2012,0.968788937,
BLR,SDG_A871_SEX_AGE_RT,XX:14017,SEX_M,AGE_CLDVERSION_Y5-14,2012,0.936565734,
BLR,SDG_A871_SEX_AGE_RT,XX:14017,SEX_F,AGE_CLDVERSION_Y5-14,2012,1.000975817,
BLZ,SDG_A871_SEX_AGE_RT,XX:13986,SEX_T,AGE_CLDVERSION_Y5-17,2013,2.2,
BLZ,SDG_A871_SEX_AGE_RT,XX:13986,SEX_M,AGE_CLDVERSION_Y5-17,2013,3.2,
BLZ,SDG_A871_SEX_AGE_RT,XX:13986,SEX_F,AGE_CLDVERSION_Y5-17,2013,1.2,
BOL,SDG_A871_SEX_AGE_RT,XX:13990,SEX_T,AGE_CLDVERSION_Y5-17,2015,11,C6:2272
BOL,SDG_A871_SEX_AGE_RT,XX:13990,SEX_M,AGE_CLDVERSION_Y5-17,2015,13,C6:2272
BOL,SDG_A871_SEX_AGE_RT,XX:13990,SEX_F,AGE_CLDVERSION_Y5-17,2015,9,C6:2272
BRA,SDG_A871_SEX_AGE_RT,XX:13960,SEX_T,AGE_CLDVERSION_Y5-17,2015,3.4,
BRA,SDG_A871_SEX_AGE_RT,XX:13960,SEX_M,AGE_CLDVERSION_Y5-17,2015,4.6,
BRA,SDG_A871_SEX_AGE_RT,XX:13960,SEX_F,AGE_CLDVERSION_Y5-17,2015,2,
BRB,SDG_A871_SEX_AGE_RT,XX:13998,SEX_T,AGE_CLDVERSION_Y5-14,2012,1.2448241,
BRB,SDG_A871_SEX_AGE_RT,XX:13998,SEX_M,AGE_CLDVERSION_Y5-14,2012,1.664936915,
BRB,SDG_A871_SEX_AGE_RT,XX:13998,SEX_F,AGE_CLDVERSION_Y5-14,2012,0.83586676,
BTN,SDG_A871_SEX_AGE_RT,XX:13975,SEX_T,AGE_CLDVERSION_Y5-14,2010,1.679621078,
BTN,SDG_A871_SEX_AGE_RT,XX:13975,SEX_M,AGE_CLDVERSION_Y5-14,2010,1.622457244,
BTN,SDG_A871_SEX_AGE_RT,XX:13975,SEX_F,AGE_CLDVERSION_Y5-14,2010,1.733951643,
CAF,SDG_A871_SEX_AGE_RT,XX:14006,SEX_T,AGE_CLDVERSION_Y5-14,2010,22.24272937,
CAF,SDG_A871_SEX_AGE_RT,XX:14006,SEX_M,AGE_CLDVERSION_Y5-14,2010,22.00184315,
CAF,SDG_A871_SEX_AGE_RT,XX:14006,SEX_F,AGE_CLDVERSION_Y5-14,2010,22.49096334,
CHL,SDG_A871_SEX_AGE_RT,XX:14031,SEX_T,AGE_CLDVERSION_Y5-17,2012,2.3,
CHL,SDG_A871_SEX_AGE_RT,XX:14031,SEX_M,AGE_CLDVERSION_Y5-17,2012,3.3,
CHL,SDG_A871_SEX_AGE_RT,XX:14031,SEX_F,AGE_CLDVERSION_Y5-17,2012,1.4,
CIV,SDG_A871_SEX_AGE_RT,XX:14013,SEX_T,AGE_CLDVERSION_Y5-14,2011,25.15527308,
CIV,SDG_A871_SEX_AGE_RT,XX:14013,SEX_M,AGE_CLDVERSION_Y5-14,2011,24.81871396,
CIV,SDG_A871_SEX_AGE_RT,XX:14013,SEX_F,AGE_CLDVERSION_Y5-14,2011,24.71934706,
CMR,SDG_A871_SEX_AGE_RT,XX:13982,SEX_T,AGE_CLDVERSION_Y5-17,2014,33.36,
CMR,SDG_A871_SEX_AGE_RT,XX:13982,SEX_M,AGE_CLDVERSION_Y5-17,2014,38.46137524,
CMR,SDG_A871_SEX_AGE_RT,XX:13982,SEX_F,AGE_CLDVERSION_Y5-17,2014,32.77597427,
COD,SDG_A871_SEX_AGE_RT,XX:14021,SEX_T,AGE_CLDVERSION_Y5-17,2013,20.63,
COD,SDG_A871_SEX_AGE_RT,XX:14021,SEX_M,AGE_CLDVERSION_Y5-17,2013,20.46748549,
COD,SDG_A871_SEX_AGE_RT,XX:14021,SEX_F,AGE_CLDVERSION_Y5-17,2013,22.83192575,
COG,SDG_A871_SEX_AGE_RT,XX:13967,SEX_T,AGE_CLDVERSION_Y5-14,2011,16.90609902,
COG,SDG_A871_SEX_AGE_RT,XX:13967,SEX_M,AGE_CLDVERSION_Y5-14,2011,17.52930284,
COG,SDG_A871_SEX_AGE_RT,XX:13967,SEX_F,AGE_CLDVERSION_Y5-14,2011,17.70289689,
COL,SDG_A871_SEX_AGE_RT,XX:13988,SEX_T,AGE_CLDVERSION_Y5-17,2016,3.3,
COL,SDG_A871_SEX_AGE_RT,XX:13988,SEX_M,AGE_CLDVERSION_Y5-17,2016,4.5,
COL,SDG_A871_SEX_AGE_RT,XX:13988,SEX_F,AGE_CLDVERSION_Y5-17,2016,2,
COM,SDG_A871_SEX_AGE_RT,XX:13969,SEX_T,AGE_CLDVERSION_Y5-14,2012,20.38042694,
COM,SDG_A871_SEX_AGE_RT,XX:13969,SEX_M,AGE_CLDVERSION_Y5-14,2012,20.57665139,
COM,SDG_A871_SEX_AGE_RT,XX:13969,SEX_F,AGE_CLDVERSION_Y5-14,2012,20.14216781,
CRI,SDG_A871_SEX_AGE_RT,XX:13992,SEX_T,AGE_CLDVERSION_Y5-14,2011,3.558415174,
CRI,SDG_A871_SEX_AGE_RT,XX:13992,SEX_M,AGE_CLDVERSION_Y5-14,2011,3.476926312,
