ref_area,indicator,source,sex,classif1,time,obs_value,note_classif
AGO,SDG_A871_SEX_AGE_RT,XX:14028,SEX_T,AGE_CLDVERSION_Y5-17,2015,9.666466713,
ARM,SDG_A871_SEX_AGE_RT,XX:14029,SEX_T,AGE_CLDVERSION_Y5-17,2015,3.9,
BOL,SDG_A871_SEX_AGE_RT,XX:13990,SEX_T,AGE_CLDVERSION_Y5-17,2015,11,C6:2272
BRA,SDG_A871_SEX_AGE_RT,XX:13960,SEX_T,AGE_CLDVERSION_Y5-17,2015,3.4,
COL,SDG_A871_SEX_AGE_RT,XX:13988,SEX_T,AGE_CLDVERSION_Y5-17,2016,3.3,
ECU,SDG_A871_SEX_AGE_RT,XX:13973,SEX_T,AGE_CLDVERSION_Y5-14,2016,3.1,
GEO,SDG_A871_SEX_AGE_RT,XX:13977,SEX_T,AGE_CLDVERSION_Y5-17,2015,1.5,
JOR,SDG_A871_SEX_AGE_RT,XX:13987,SEX_T,AGE_CLDVERSION_Y5-17,2016,1.2,
MEX,SDG_A871_SEX_AGE_RT,XX:13993,SEX_T,AGE_CLDVERSION_Y5-17,2015,3.8,
MLI,SDG_A871_SEX_AGE_RT,XX:13995,SEX_T,AGE_CLDVERSION_Y5-17,2015,32.36,
NGA,SDG_A871_SEX_AGE_RT,XX:14001,SEX_T,AGE_CLDVERSION_Y5-17,2016,28.72,
PER,SDG_A871_SEX_AGE_RT,XX:13963,SEX_T,AGE_CLDVERSION_Y5-17,2015,13.3,
PRY,SDG_A871_SEX_AGE_RT,XX:13978,SEX_T,AGE_CLDVERSION_Y5-17,2015,15.52,
SEN,SDG_A871_SEX_AGE_RT,XX:13979,SEX_T,AGE_CLDVERSION_Y5-17,2016,17.13698208,
SLB,SDG_A871_SEX_AGE_RT,XX:14012,SEX_T,AGE_CLDVERSION_Y5-14,2015,13.8,
SLV,SDG_A871_SEX_AGE_RT,XX:14014,SEX_T,AGE_CLDVERSION_Y5-17,2015,4.9,
TKM,SDG_A871_SEX_AGE_RT,XX:13966,SEX_T,AGE_CLDVERSION_Y5-17,2015,0.261040265,
