ref_area,indicator,source,sex,classif1,time,obs_value
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2015,45.73620722
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2016,44.32309524
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2017,42.56496454
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2018,41.43420816
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2019,40.11020013
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2015,28.45810444
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2016,28.62303072
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2017,28.62505016
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2018,28.55959616
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2019,28.34001032
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_YGE15,2015,0.111281772
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_YGE15,2016,0.096977636
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_YGE15,2017,0.082191396
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_YGE15,2018,0.071000662
ALB,SDG_0111_SEX_AGE_RT,XA:2137,SEX_T,AGE_YTHADULT_YGE15,2019,0.06046334
ARE,SDG_0111_SEX_AGE_RT,XA:1978,SEX_T,AGE_YTHADULT_YGE15,2015,0
ARE,SDG_0111_SEX_AGE_RT,XA:1978,SEX_T,AGE_YTHADULT_YGE15,2016,0
ARE,SDG_0111_SEX_AGE_RT,XA:1978,SEX_T,AGE_YTHADULT_YGE15,2017,0
ARE,SDG_0111_SEX_AGE_RT,XA:1978,SEX_T,AGE_YTHADULT_YGE15,2018,0
ARE,SDG_0111_SEX_AGE_RT,XA:1978,SEX_T,AGE_YTHADULT_YGE15,2019,0
ARG,SDG_0111_SEX_AGE_RT,XA:1868,SEX_T,AGE_YTHADULT_YGE15,2015,0.167648583
ARG,SDG_0111_SEX_AGE_RT,XA:1868,SEX_T,AGE_YTHADULT_YGE15,2016,0.182762032
ARG,SDG_0111_SEX_AGE_RT,XA:1868,SEX_T,AGE_YTHADULT_YGE15,2017,0.130183966
ARG,SDG_0111_SEX_AGE_RT,XA:1868,SEX_T,AGE_YTHADULT_YGE15,2018,0.124672942
ARG,SDG_0111_SEX_AGE_RT,XA:1868,SEX_T,AGE_YTHADULT_YGE15,2019,0.118849169
ARM,SDG_0111_SEX_AGE_RT,XA:1931,SEX_T,AGE_YTHADULT_YGE15,2015,0.557819463
ARM,SDG_0111_SEX_AGE_RT,XA:1931,SEX_T,AGE_YTHADULT_YGE15,2016,0.445678218
ARM,SDG_0111_SEX_AGE_RT,XA:1931,SEX_T,AGE_YTHADULT_YGE15,2017,0.337985213
ARM,SDG_0111_SEX_AGE_RT,XA:1931,SEX_T,AGE_YTHADULT_YGE15,2018,0.316066856
ARM,SDG_0111_SEX_AGE_RT,XA:1931,SEX_T,AGE_YTHADULT_YGE15,2019,0.298867188
AZE,SDG_0111_SEX_AGE_RT,XA:2121,SEX_T,AGE_YTHADULT_YGE15,2015,0.025339974
AZE,SDG_0111_SEX_AGE_RT,XA:2121,SEX_T,AGE_YTHADULT_YGE15,2016,0.027957332
AZE,SDG_0111_SEX_AGE_RT,XA:2121,SEX_T,AGE_YTHADULT_YGE15,2017,0.029510675
AZE,SDG_0111_SEX_AGE_RT,XA:2121,SEX_T,AGE_YTHADULT_YGE15,2018,0.030063875
AZE,SDG_0111_SEX_AGE_RT,XA:2121,SEX_T,AGE_YTHADULT_YGE15,2019,0.027039065
BDI,SDG_0111_SEX_AGE_RT,XA:2153,SEX_T,AGE_YTHADULT_YGE15,2015,70.49485365
BDI,SDG_0111_SEX_AGE_RT,XA:2153,SEX_T,AGE_YTHADULT_YGE15,2016,71.05940524
BDI,SDG_0111_SEX_AGE_RT,XA:2153,SEX_T,AGE_YTHADULT_YGE15,2017,71.52204627
BDI,SDG_0111_SEX_AGE_RT,XA:2153,SEX_T,AGE_YTHADULT_YGE15,2018,71.91897385
BDI,SDG_0111_SEX_AGE_RT,XA:2153,SEX_T,AGE_YTHADULT_YGE15,2019,72.22934524
BEN,SDG_0111_SEX_AGE_RT,XA:2018,SEX_T,AGE_YTHADULT_YGE15,2015,44.29525888
BEN,SDG_0111_SEX_AGE_RT,XA:2018,SEX_T,AGE_YTHADULT_YGE15,2016,43.59843832
BEN,SDG_0111_SEX_AGE_RT,XA:2018,SEX_T,AGE_YTHADULT_YGE15,2017,42.47019902
BEN,SDG_0111_SEX_AGE_RT,XA:2018,SEX_T,AGE_YTHADULT_YGE15,2018,41.16687284
BEN,SDG_0111_SEX_AGE_RT,XA:2018,SEX_T,AGE_YTHADULT_YGE15,2019,39.97773806
BFA,SDG_0111_SEX_AGE_RT,XA:2034,SEX_T,AGE_YTHADULT_YGE15,2015,39.87948599
BFA,SDG_0111_SEX_AGE_RT,XA:2034,SEX_T,AGE_YTHADULT_YGE15,2016,38.72022945
BFA,SDG_0111_SEX_AGE_RT,XA:2034,SEX_T,AGE_YTHADULT_YGE15,2017,37.3884614
BFA,SDG_0111_SEX_AGE_RT,XA:2034,SEX_T,AGE_YTHADULT_YGE15,2018,36.1357911
BFA,SDG_0111_SEX_AGE_RT,XA:2034,SEX_T,AGE_YTHADULT_YGE15,2019,35.05942051
BGD,SDG_0111_SEX_AGE_RT,XA:1939,SEX_T,AGE_YTHADULT_YGE15,2015,13.02389274
BGD,SDG_0111_SEX_AGE_RT,XA:1939,SEX_T,AGE_YTHADULT_YGE15,2016,12.42515919
BGD,SDG_0111_SEX_AGE_RT,XA:1939,SEX_T,AGE_YTHADULT_YGE15,2017,11.34919429
BGD,SDG_0111_SEX_AGE_RT,XA:1939,SEX_T,AGE_YTHADULT_YGE15,2018,10.16453797
BGD,SDG_0111_SEX_AGE_RT,XA:1939,SEX_T,AGE_YTHADULT_YGE15,2019,9.147870111
BHS,SDG_0111_SEX_AGE_RT,XA:2097,SEX_T,AGE_YTHADULT_YGE15,2015,0
BHS,SDG_0111_SEX_AGE_RT,XA:2097,SEX_T,AGE_YTHADULT_YGE15,2016,0
BHS,SDG_0111_SEX_AGE_RT,XA:2097,SEX_T,AGE_YTHADULT_YGE15,2017,0
BHS,SDG_0111_SEX_AGE_RT,XA:2097,SEX_T,AGE_YTHADULT_YGE15,2018,0
BHS,SDG_0111_SEX_AGE_RT,XA:2097,SEX_T,AGE_YTHADULT_YGE15,2019,0
BIH,SDG_0111_SEX_AGE_RT,XA:2113,SEX_T,AGE_YTHADULT_YGE15,2015,0.010747945
BIH,SDG_0111_SEX_AGE_RT,XA:2113,SEX_T,AGE_YTHADULT_YGE15,2016,0.01014991
BIH,SDG_0111_SEX_AGE_RT,XA:2113,SEX_T,AGE_YTHADULT_YGE15,2017,0.009373606
BIH,SDG_0111_SEX_AGE_RT,XA:2113,SEX_T,AGE_YTHADULT_YGE15,2018,0.008450448
BIH,SDG_0111_SEX_AGE_RT,XA:2113,SEX_T,AGE_YTHADULT_YGE15,2019,0.007881833
BLR,SDG_0111_SEX_AGE_RT,XA:2129,SEX_T,AGE_YTHADULT_YGE15,2015,0.099707135
BLR,SDG_0111_SEX_AGE_RT,XA:2129,SEX_T,AGE_YTHADULT_YGE15,2016,0.09970438
BLR,SDG_0111_SEX_AGE_RT,XA:2129,SEX_T,AGE_YTHADULT_YGE15,2017,0.099797166
BLR,SDG_0111_SEX_AGE_RT,XA:2129,SEX_T,AGE_YTHADULT_YGE15,2018,0.109227339
BLR,SDG_0111_SEX_AGE_RT,XA:2129,SEX_T,AGE_YTHADULT_YGE15,2019,0.106103969
BLZ,SDG_0111_SEX_AGE_RT,XA:2145,SEX_T,AGE_YTHADULT_YGE15,2015,2.554092549
BLZ,SDG_0111_SEX_AGE_RT,XA:2145,SEX_T,AGE_YTHADULT_YGE15,2016,2.671062722
BLZ,SDG_0111_SEX_AGE_RT,XA:2145,SEX_T,AGE_YTHADULT_YGE15,2017,2.517075156
BLZ,SDG_0111_SEX_AGE_RT,XA:2145,SEX_T,AGE_YTHADULT_YGE15,2018,2.421492596
BLZ,SDG_0111_SEX_AGE_RT,XA:2145,SEX_T,AGE_YTHADULT_YGE15,2019,2.347561158
BOL,SDG_0111_SEX_AGE_RT,XA:1907,SEX_T,AGE_YTHADULT_YGE15,2015,6.616219875
BOL,SDG_0111_SEX_AGE_RT,XA:1907,SEX_T,AGE_YTHADULT_YGE15,2016,7.326339584
BOL,SDG_0111_SEX_AGE_RT,XA:1907,SEX_T,AGE_YTHADULT_YGE15,2017,6.263383665
BOL,SDG_0111_SEX_AGE_RT,XA:1907,SEX_T,AGE_YTHADULT_YGE15,2018,6.339130388
BOL,SDG_0111_SEX_AGE_RT,XA:1907,SEX_T,AGE_YTHADULT_YGE15,2019,5.681659282
BRA,SDG_0111_SEX_AGE_RT,XA:2002,SEX_T,AGE_YTHADULT_YGE15,2015,0.901241697
BRA,SDG_0111_SEX_AGE_RT,XA:2002,SEX_T,AGE_YTHADULT_YGE15,2016,1.576293478
BRA,SDG_0111_SEX_AGE_RT,XA:2002,SEX_T,AGE_YTHADULT_YGE15,2017,2.050643243
BRA,SDG_0111_SEX_AGE_RT,XA:2002,SEX_T,AGE_YTHADULT_YGE15,2018,1.924865009
BRA,SDG_0111_SEX_AGE_RT,XA:2002,SEX_T,AGE_YTHADULT_YGE15,2019,1.791508247
BRB,SDG_0111_SEX_AGE_RT,XA:2193,SEX_T,AGE_YTHADULT_YGE15,2015,0.072555509
BRB,SDG_0111_SEX_AGE_RT,XA:2193,SEX_T,AGE_YTHADULT_YGE15,2016,0.069374414
BRB,SDG_0111_SEX_AGE_RT,XA:2193,SEX_T,AGE_YTHADULT_YGE15,2017,0.065706307
BRB,SDG_0111_SEX_AGE_RT,XA:2193,SEX_T,AGE_YTHADULT_YGE15,2018,0.062527089
BRB,SDG_0111_SEX_AGE_RT,XA:2193,SEX_T,AGE_YTHADULT_YGE15,2019,0.059604599
BRN,SDG_0111_SEX_AGE_RT,XA:2014,SEX_T,AGE_YTHADULT_YGE15,2015,0
BRN,SDG_0111_SEX_AGE_RT,XA:2014,SEX_T,AGE_YTHADULT_YGE15,2016,0
BRN,SDG_0111_SEX_AGE_RT,XA:2014,SEX_T,AGE_YTHADULT_YGE15,2017,0
BRN,SDG_0111_SEX_AGE_RT,XA:2014,SEX_T,AGE_YTHADULT_YGE15,2018,0
BRN,SDG_0111_SEX_AGE_RT,XA:2014,SEX_T,AGE_YTHADULT_YGE15,2019,0
BTN,SDG_0111_SEX_AGE_RT,XA:1872,SEX_T,AGE_YTHADULT_YGE15,2015,2.209172671
BTN,SDG_0111_SEX_AGE_RT,XA:1872,SEX_T,AGE_YTHADULT_YGE15,2016,1.934142075
BTN,SDG_0111_SEX_AGE_RT,XA:1872,SEX_T,AGE_YTHADULT_YGE15,2017,1.756677792
BTN,SDG_0111_SEX_AGE_RT,XA:1872,SEX_T,AGE_YTHADULT_YGE15,2018,1.491756949
BTN,SDG_0111_SEX_AGE_RT,XA:1872,SEX_T,AGE_YTHADULT_YGE15,2019,1.290724082
BWA,SDG_0111_SEX_AGE_RT,XA:2030,SEX_T,AGE_YTHADULT_YGE15,2015,12.4323149
BWA,SDG_0111_SEX_AGE_RT,XA:2030,SEX_T,AGE_YTHADULT_YGE15,2016,11.94272065
BWA,SDG_0111_SEX_AGE_RT,XA:2030,SEX_T,AGE_YTHADULT_YGE15,2017,11.35557906
BWA,SDG_0111_SEX_AGE_RT,XA:2030,SEX_T,AGE_YTHADULT_YGE15,2018,10.66524021
BWA,SDG_0111_SEX_AGE_RT,XA:2030,SEX_T,AGE_YTHADULT_YGE15,2019,9.910737415
CAF,SDG_0111_SEX_AGE_RT,XA:1849,SEX_T,AGE_YTHADULT_YGE15,2015,67.53408258
CAF,SDG_0111_SEX_AGE_RT,XA:1849,SEX_T,AGE_YTHADULT_YGE15,2016,67.38768556
CAF,SDG_0111_SEX_AGE_RT,XA:1849,SEX_T,AGE_YTHADULT_YGE15,2017,67.21089281
CAF,SDG_0111_SEX_AGE_RT,XA:1849,SEX_T,AGE_YTHADULT_YGE15,2018,66.97965042
CAF,SDG_0111_SEX_AGE_RT,XA:1849,SEX_T,AGE_YTHADULT_YGE15,2019,66.79050601
CHL,SDG_0111_SEX_AGE_RT,XA:1943,SEX_T,AGE_YTHADULT_YGE15,2015,0.325459885
CHL,SDG_0111_SEX_AGE_RT,XA:1943,SEX_T,AGE_YTHADULT_YGE15,2016,0.245331232
CHL,SDG_0111_SEX_AGE_RT,XA:1943,SEX_T,AGE_YTHADULT_YGE15,2017,0.18777186
CHL,SDG_0111_SEX_AGE_RT,XA:1943,SEX_T,AGE_YTHADULT_YGE15,2018,0.17332807
CHL,SDG_0111_SEX_AGE_RT,XA:1943,SEX_T,AGE_YTHADULT_YGE15,2019,0.159759789
CHN,SDG_0111_SEX_AGE_RT,XA:2070,SEX_T,AGE_YTHADULT_YGE15,2015,0.860593057
CHN,SDG_0111_SEX_AGE_RT,XA:2070,SEX_T,AGE_YTHADULT_YGE15,2016,0.740916708
CHN,SDG_0111_SEX_AGE_RT,XA:2070,SEX_T,AGE_YTHADULT_YGE15,2017,0.652014418
CHN,SDG_0111_SEX_AGE_RT,XA:2070,SEX_T,AGE_YTHADULT_YGE15,2018,0.564424925
CHN,SDG_0111_SEX_AGE_RT,XA:2070,SEX_T,AGE_YTHADULT_YGE15,2019,0.494831847
CIV,SDG_0111_SEX_AGE_RT,XA:1950,SEX_T,AGE_YTHADULT_YGE15,2015,27.13793644
CIV,SDG_0111_SEX_AGE_RT,XA:1950,SEX_T,AGE_YTHADULT_YGE15,2016,25.5174206
CIV,SDG_0111_SEX_AGE_RT,XA:1950,SEX_T,AGE_YTHADULT_YGE15,2017,23.74383791
CIV,SDG_0111_SEX_AGE_RT,XA:1950,SEX_T,AGE_YTHADULT_YGE15,2018,22.18946714
CIV,SDG_0111_SEX_AGE_RT,XA:1950,SEX_T,AGE_YTHADULT_YGE15,2019,20.75690016
CMR,SDG_0111_SEX_AGE_RT,XA:2085,SEX_T,AGE_YTHADULT_YGE15,2015,19.45369388
CMR,SDG_0111_SEX_AGE_RT,XA:2085,SEX_T,AGE_YTHADULT_YGE15,2016,18.33008403
CMR,SDG_0111_SEX_AGE_RT,XA:2085,SEX_T,AGE_YTHADULT_YGE15,2017,17.40693056
CMR,SDG_0111_SEX_AGE_RT,XA:2085,SEX_T,AGE_YTHADULT_YGE15,2018,16.42986469
CMR,SDG_0111_SEX_AGE_RT,XA:2085,SEX_T,AGE_YTHADULT_YGE15,2019,15.46857682
COD,SDG_0111_SEX_AGE_RT,XA:2093,SEX_T,AGE_YTHADULT_YGE15,2015,70.40009196
COD,SDG_0111_SEX_AGE_RT,XA:2093,SEX_T,AGE_YTHADULT_YGE15,2016,70.05159174
COD,SDG_0111_SEX_AGE_RT,XA:2093,SEX_T,AGE_YTHADULT_YGE15,2017,69.64821175
COD,SDG_0111_SEX_AGE_RT,XA:2093,SEX_T,AGE_YTHADULT_YGE15,2018,69.19600466
COD,SDG_0111_SEX_AGE_RT,XA:2093,SEX_T,AGE_YTHADULT_YGE15,2019,68.72158688
COG,SDG_0111_SEX_AGE_RT,XA:2101,SEX_T,AGE_YTHADULT_YGE15,2015,34.90236357
COG,SDG_0111_SEX_AGE_RT,XA:2101,SEX_T,AGE_YTHADULT_YGE15,2016,35.23492263
COG,SDG_0111_SEX_AGE_RT,XA:2101,SEX_T,AGE_YTHADULT_YGE15,2017,35.57644919
COG,SDG_0111_SEX_AGE_RT,XA:2101,SEX_T,AGE_YTHADULT_YGE15,2018,35.23797863
COG,SDG_0111_SEX_AGE_RT,XA:2101,SEX_T,AGE_YTHADULT_YGE15,2019,34.99970166
COL,SDG_0111_SEX_AGE_RT,XA:2109,SEX_T,AGE_YTHADULT_YGE15,2015,2.368789545
COL,SDG_0111_SEX_AGE_RT,XA:2109,SEX_T,AGE_YTHADULT_YGE15,2016,2.356552718
COL,SDG_0111_SEX_AGE_RT,XA:2109,SEX_T,AGE_YTHADULT_YGE15,2017,1.847371006
COL,SDG_0111_SEX_AGE_RT,XA:2109,SEX_T,AGE_YTHADULT_YGE15,2018,1.683753871
COL,SDG_0111_SEX_AGE_RT,XA:2109,SEX_T,AGE_YTHADULT_YGE15,2019,1.514278978
COM,SDG_0111_SEX_AGE_RT,XA:2117,SEX_T,AGE_YTHADULT_YGE15,2015,14.42333985
COM,SDG_0111_SEX_AGE_RT,XA:2117,SEX_T,AGE_YTHADULT_YGE15,2016,14.19199036
COM,SDG_0111_SEX_AGE_RT,XA:2117,SEX_T,AGE_YTHADULT_YGE15,2017,13.87592058
COM,SDG_0111_SEX_AGE_RT,XA:2117,SEX_T,AGE_YTHADULT_YGE15,2018,13.44399538
COM,SDG_0111_SEX_AGE_RT,XA:2117,SEX_T,AGE_YTHADULT_YGE15,2019,13.05610098
CPV,SDG_0111_SEX_AGE_RT,XA:2125,SEX_T,AGE_YTHADULT_YGE15,2015,2.911901082
CPV,SDG_0111_SEX_AGE_RT,XA:2125,SEX_T,AGE_YTHADULT_YGE15,2016,2.696324207
CPV,SDG_0111_SEX_AGE_RT,XA:2125,SEX_T,AGE_YTHADULT_YGE15,2017,2.487700918
CPV,SDG_0111_SEX_AGE_RT,XA:2125,SEX_T,AGE_YTHADULT_YGE15,2018,2.173202535
CPV,SDG_0111_SEX_AGE_RT,XA:2125,SEX_T,AGE_YTHADULT_YGE15,2019,1.999856367
CRI,SDG_0111_SEX_AGE_RT,XA:2133,SEX_T,AGE_YTHADULT_YGE15,2015,0.451536337
CRI,SDG_0111_SEX_AGE_RT,XA:2133,SEX_T,AGE_YTHADULT_YGE15,2016,0.317971911
CRI,SDG_0111_SEX_AGE_RT,XA:2133,SEX_T,AGE_YTHADULT_YGE15,2017,0.247842789
CRI,SDG_0111_SEX_AGE_RT,XA:2133,SEX_T,AGE_YTHADULT_YGE15,2018,0.224589166
CRI,SDG_0111_SEX_AGE_RT,XA:2133,SEX_T,AGE_YTHADULT_YGE15,2019,0.201511196
CUB,SDG_0111_SEX_AGE_RT,XA:1982,SEX_T,AGE_YTHADULT_YGE15,2015,0.024958498
CUB,SDG_0111_SEX_AGE_RT,XA:1982,SEX_T,AGE_YTHADULT_YGE15,2016,0.023599393
CUB,SDG_0111_SEX_AGE_RT,XA:1982,SEX_T,AGE_YTHADULT_YGE15,2017,0.022054225
CUB,SDG_0111_SEX_AGE_RT,XA:1982,SEX_T,AGE_YTHADULT_YGE15,2018,0.02054976
CUB,SDG_0111_SEX_AGE_RT,XA:1982,SEX_T,AGE_YTHADULT_YGE15,2019,0.019222808
DOM,SDG_0111_SEX_AGE_RT,XA:2189,SEX_T,AGE_YTHADULT_YGE15,2015,1.229242234
DOM,SDG_0111_SEX_AGE_RT,XA:2189,SEX_T,AGE_YTHADULT_YGE15,2016,1.086507635
DOM,SDG_0111_SEX_AGE_RT,XA:2189,SEX_T,AGE_YTHADULT_YGE15,2017,0.989836514
DOM,SDG_0111_SEX_AGE_RT,XA:2189,SEX_T,AGE_YTHADULT_YGE15,2018,0.888243204
DOM,SDG_0111_SEX_AGE_RT,XA:2189,SEX_T,AGE_YTHADULT_YGE15,2019,0.79949464
DZA,SDG_0111_SEX_AGE_RT,XA:1829,SEX_T,AGE_YTHADULT_YGE15,2015,0.108609499
DZA,SDG_0111_SEX_AGE_RT,XA:1829,SEX_T,AGE_YTHADULT_YGE15,2016,0.110512856
DZA,SDG_0111_SEX_AGE_RT,XA:1829,SEX_T,AGE_YTHADULT_YGE15,2017,0.114471968
