ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE15,2015,17.193,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-64,2015,17.5806,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-24,2015,39.9773,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE25,2015,14.1981,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE15,2016,15.4176,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-64,2016,15.8059,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-24,2016,36.6129,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE25,2016,12.9645,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE15,2017,13.6158,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-64,2017,13.9826,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-24,2017,31.6098,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE25,2017,11.5882,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_YGE15,2018,12.3038,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-64,2018,12.7767,,,,R1:3513
