name,sex,classif1,time,obs_value
Aruba,,,0,
Afghanistan,SEX_T,AGE_YTHADULT_YGE15,2014,7.9145
Afghanistan,SEX_T,AGE_YTHADULT_Y15-64,2014,7.9639999999999995
Afghanistan,SEX_T,AGE_YTHADULT_Y15-24,2014,9.9628
Afghanistan,SEX_T,AGE_YTHADULT_YGE25,2014,6.773
Afghanistan,SEX_M,AGE_YTHADULT_YGE15,2014,7.1962
Afghanistan,SEX_M,AGE_YTHADULT_Y15-64,2014,7.2419
Afghanistan,SEX_M,AGE_YTHADULT_Y15-24,2014,8.8639
Afghanistan,SEX_M,AGE_YTHADULT_YGE25,2014,6.362
Afghanistan,SEX_F,AGE_YTHADULT_YGE15,2014,10.1117
Afghanistan,SEX_F,AGE_YTHADULT_Y15-64,2014,10.128
Afghanistan,SEX_F,AGE_YTHADULT_Y15-24,2014,12.5539
Afghanistan,SEX_F,AGE_YTHADULT_YGE25,2014,8.2501
Angola,SEX_T,AGE_YTHADULT_YGE15,2004,23.6427
Angola,SEX_T,AGE_YTHADULT_Y15-64,2004,24.1825
Angola,SEX_T,AGE_YTHADULT_Y15-24,2004,54.3108
Angola,SEX_T,AGE_YTHADULT_YGE25,2004,11.394
Angola,SEX_M,AGE_YTHADULT_YGE15,2004,21.3064
Angola,SEX_M,AGE_YTHADULT_Y15-64,2004,21.8911
Angola,SEX_M,AGE_YTHADULT_Y15-24,2004,51.1291
Angola,SEX_M,AGE_YTHADULT_YGE25,2004,10.2943
Angola,SEX_F,AGE_YTHADULT_YGE15,2004,26.133000000000003
Angola,SEX_F,AGE_YTHADULT_Y15-64,2004,26.609
Angola,SEX_F,AGE_YTHADULT_Y15-24,2004,57.3373
Angola,SEX_F,AGE_YTHADULT_YGE25,2004,12.6208
Angola,SEX_T,AGE_YTHADULT_YGE15,2011,7.3622
Angola,SEX_T,AGE_YTHADULT_Y15-64,2011,7.6617
Angola,SEX_T,AGE_YTHADULT_Y15-24,2011,16.714000000000002
Angola,SEX_T,AGE_YTHADULT_YGE25,2011,3.7242
Angola,SEX_M,AGE_YTHADULT_YGE15,2011,7.0024
Angola,SEX_M,AGE_YTHADULT_Y15-64,2011,7.2985
Angola,SEX_M,AGE_YTHADULT_Y15-24,2011,16.8141
Angola,SEX_M,AGE_YTHADULT_YGE25,2011,3.2861
Angola,SEX_F,AGE_YTHADULT_YGE15,2011,7.7125
Angola,SEX_F,AGE_YTHADULT_Y15-64,2011,8.0103
Angola,SEX_F,AGE_YTHADULT_Y15-24,2011,16.6201
Angola,SEX_F,AGE_YTHADULT_YGE25,2011,4.157
Anguilla,,,0,
Åland Islands,,,0,
