ref_area,indicator,source,sex,classif1,time,obs_value,note_source
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_TOTAL,2015,34413.603,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y00-04,2015,5500.914,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y05-09,2015,5228.453,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y10-14,2015,4714.44,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y15-19,2015,4062.56,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y20-24,2015,3215.037,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y25-29,2015,2543.701,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y30-34,2015,2106.649,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y35-39,2015,1703.451,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y40-44,2015,1349.22,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y45-49,2015,1082.972,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y50-54,2015,863.851,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y55-59,2015,674.106,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_Y60-64,2015,515.253,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_5YRBANDS_YGE65,2015,852.996,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_TOTAL,2015,34413.603,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_YLT15,2015,15443.807,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y15-24,2015,7277.597,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y25-34,2015,4650.35,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y35-44,2015,3052.671,R1:2474
AFG,POP_2POP_SEX_AGE_NB,XA:2198,SEX_T,AGE_10YRBANDS_Y45-54,2015,1946.823,R1:2474
