ref_area,indicator,source,sex,classif1,time,obs_value
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2015,45.73620722
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2015,52.73303912
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2015,42.83407052
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2016,44.32309524
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2016,51.77450262
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2016,41.23808705
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2017,42.56496454
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2017,50.4862374
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2017,39.29194138
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2018,41.43420816
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2018,49.49554471
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2018,38.11078027
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2019,40.11020013
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2019,48.3801145
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2019,36.7249133
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2015,28.45810444
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2015,34.63205457
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2015,26.49154429
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2016,28.62303072
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2016,34.81449029
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2016,26.66311033
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2017,28.62505016
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_Y15-24,2017,34.82665346
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE25,2017,26.6725676
AGO,SDG_0111_SEX_AGE_RT,XA:2010,SEX_T,AGE_YTHADULT_YGE15,2018,28.55959616
