"LOCAL","SP_DYN_LE00_IN","SP_DYN_IMRT_IN","NY_GDP_MKTP_CD","NY_GDP_PCAP_CD","NY_GDP_MKTP_KD_ZG","200343","200144","200345","200151","SP_RUR_TOTL_ZS","200101","ANO"
"SXM","77.0",,,,"0.5","8.0","7.0","23.0","3.0",,"40.0","2015"
"VIR","79.0",,"3.863E9","35932.0","0.9","21.0","14.0","51.0","19.0","5.0","105.0","2016"
"SXM",,,,,,"8.0","6.0","24.0","4.0",,"42.0","2018"
"PHL","71.0","23.0","3.18627003965E11","3074.0","7.1","33091.0","20042.0","45593.0","4937.0","54.0","103664.0","2016"
"NLD","82.0","3.0","9.14104847814E11","53048.0","2.6","2748.0","2054.0","8983.0","3275.0","9.0","17060.0","2018"
"SXM",,,,,,"8.0","6.0","24.0","4.0",,"42.0","2019"
"EST",,,"3.1386949981E10","23660.0","4.3","218.0","122.0","720.0","265.0","31.0","1326.0","2019"
"WLF",,,,,,"2.0","2.0","6.0","1.0",,"12.0","2015"
"WLF",,,,,,"2.0","2.0","6.0","1.0",,"12.0","2016"
"WLF",,,,,,"2.0","2.0","6.0","1.0",,"12.0","2017"
"WLF",,,,,,"2.0","2.0","6.0","2.0",,"12.0","2018"
"COL","77.0","13.0","2.82825012368E11","5871.0","2.1","11584.0","8625.0","24143.0","3823.0","20.0","48175.0","2016"
"ISL",,,"2.4188035739E10","66945.0","1.9","67.0","44.0","177.0","52.0","6.0","339.0","2019"
"FJI","67.0","21.0","4.93020423E9","5651.0","2.5","259.0","147.0","421.0","45.0","45.0","872.0","2016"
"SGP",,,"3.72062527489E11","65233.0","0.7",,,,,,,"2019"
"NRU",,"28.0","1.00087349E8","7670.0","3.6","4.0","2.0","4.0",,,"10.0","2016"
"KEN","65.0","32.0","6.9188755364E10","1411.0","5.9","20063.0","9989.0","17932.0","1068.0","74.0","49052.0","2016"
"AFG","64.0","51.0","1.9362642267E10","547.0","2.3","15665.0","7560.0","11267.0","892.0","75.0","35383.0","2016"
"ALB","78.0","8.0","1.1861200797E10","4124.0","3.3","531.0","485.0","1497.0","374.0","42.0","2886.0","2016"
"FJI","67.0","21.0","5.353404422E9","6101.0","5.4","260.0","146.0","425.0","46.0","44.0","877.0","2017"
"ETH",,,"9.6107662398E10","858.0","8.3","45209.0","24215.0","38714.0","3941.0","79.0","112079.0","2019"
"WLF",,,,,,"2.0","2.0","6.0","2.0",,"11.0","2019"
"MNE","77.0","3.0","4.856632399E9","7803.0","4.7","115.0","83.0","338.0","91.0","34.0","628.0","2017"
"MCO",,"3.0","6.431314957E9","167517.0","-3.4",,,,,,,"2017"
"YEM","66.0","43.0","2.4561327989E10","882.0","-5.1","11134.0","5955.0","9952.0","794.0","64.0","27835.0","2017"
"SEN","67.0","35.0","1.7774766636E10","1219.0","6.4","6338.0","2885.0","4909.0","446.0","54.0","14578.0","2015"
"FJI","67.0","22.0","5.536759653E9","6267.0","3.5","261.0","145.0","429.0","48.0","44.0","883.0","2018"
"GMB",,,"1.763819048E9","751.0","6.0","1036.0","473.0","778.0","60.0","38.0","2348.0","2019"
"THA","76.0","9.0","4.13430123185E11","5994.0","3.4","12170.0","9627.0","39583.0","7591.0","52.0","68971.0","2016"
"GUM",,,,,,"40.0","28.0","82.0","17.0","5.0","167.0","2019"
"CUW",,,,,,"30.0","21.0","85.0","28.0","11.0","163.0","2019"
"ATG","77.0","5.0","1.436585185E9","15198.0","5.5","21.0","15.0","50.0","8.0","75.0","95.0","2016"
"KNA",,,"1.050992593E9","19896.0","2.5","11.0","8.0","30.0","4.0","69.0","53.0","2019"
"ZWE","61.0","35.0","2.20409023E10","1548.0","4.7","6064.0","2847.0","4913.0","412.0","68.0","14237.0","2017"
"CHN","76.0","8.0","1.2310408652424E13","8879.0","6.9","254894.0","176118.0","843003.0","147006.0","42.0","1421022.0","2017"
"ECU","77.0","12.0","1.04295862E11","6214.0","2.4","4761.0","3061.0","7797.0","1167.0","36.0","16785.0","2017"
"VNM","75.0","17.0","1.9324110871E11","2085.0","6.7","21343.0","15640.0","49523.0","6171.0","66.0","92677.0","2015"
"BLR","74.0","3.0","5.4726595249E10","5762.0","2.5","1579.0","966.0","5528.0","1377.0","22.0","9450.0","2017"
"NAM","63.0","30.0","1.2741746434E10","5303.0","-0.3","886.0","488.0","940.0","88.0","51.0","2403.0","2017"
"VEN","72.0","21.0",,,,"8423.0","5121.0","14324.0","1983.0","12.0","29851.0","2016"
"LKA","76.0","8.0","8.0604080689E10","3844.0","5.0","5179.0","3126.0","10639.0","1964.0","82.0","20908.0","2015"
"GUY",,,"4.280443645E9","5468.0","4.7","219.0","155.0","357.0","53.0","73.0","783.0","2019"
"USA",,,"2.14277E13","65281.0","2.3",,,,,"18.0",,"2019"
"GAB",,,"1.6657960228E10","7667.0","3.4","808.0","369.0","919.0","77.0","10.0","2173.0","2019"
"MEX","75.0","13.0","1.170564619928E12","9606.0","3.3","33677.0","21970.0","58017.0","8195.0","21.0","121858.0","2015"
"BDI","61.0","44.0","2.959640987E9","282.0","-0.6","4779.0","2090.0","3396.0","224.0","88.0","10488.0","2016"
"DEU","81.0","3.0","3.949548833953E12","47639.0","1.5","11322.0","8702.0","45260.0","17840.0","23.0","83124.0","2018"
"GNQ","58.0","63.0","1.3278488567E10","10144.0","-6.4","486.0","245.0","546.0","32.0","28.0","1309.0","2018"
"BRN","76.0","10.0","1.2128104859E10","28572.0","1.3","100.0","70.0","236.0","19.0","23.0","424.0","2017"
"COK",,,,,,"4.0","3.0","9.0","2.0",,"18.0","2015"
"COK",,,,,,"4.0","3.0","9.0","2.0",,"18.0","2016"
"BIH","77.0","5.0","1.8080118128E10","5395.0","2.1",,,,,"52.0",,"2017"
"KEN","65.0","33.0","6.4007750169E10","1337.0","5.7","19842.0","9707.0","17323.0","1006.0","74.0","47878.0","2015"
"COK",,,,,,"4.0","3.0","9.0","2.0",,"18.0","2018"
"AZE","72.0","22.0","3.7867518957E10","3881.0","-3.1","2253.0","1554.0","5362.0","568.0","45.0","9736.0","2016"
"GRD","72.0","14.0","9.97007926E8","9097.0","6.4","25.0","19.0","55.0","11.0","64.0","110.0","2015"
"ZMB","64.0","40.0","2.7005238896E10","1556.0","4.0","7797.0","3605.0","5586.0","364.0","56.0","17352.0","2018"
"COK",,,,,,"4.0","3.0","9.0","2.0",,"18.0","2017"
"MDG","67.0","38.0","1.3853433948E10","528.0","4.6","10680.0","5409.0","9388.0","784.0","63.0","26262.0","2018"
"LIE","84.0",,"6.552858739E9","173356.0",,"6.0","4.0","21.0","6.0","86.0","38.0","2017"
"MLI","59.0","62.0","1.7172022684E10","900.0","4.7","9070.0","3714.0","5815.0","478.0","58.0","19078.0","2018"
"MUS","74.0","14.0","1.4181803715E10","11208.0","3.8","225.0","193.0","703.0","145.0","59.0","1267.0","2018"
"CHL","80.0","6.0","2.98258019275E11","15925.0","3.9","3700.0","2741.0","10129.0","2159.0","12.0","18729.0","2018"
"COK",,,,,,"4.0","3.0","9.0","2.0",,"18.0","2019"
"SVK",,,"1.05422304976E11","19329.0","2.4","847.0","567.0","3160.0","883.0","46.0","5457.0","2019"
"UZB",,,"5.792128644E10","1725.0","5.6","9498.0","5410.0","16558.0","1516.0","50.0","32982.0","2019"
"IND",,,"2.875142314812E12","2104.0","5.0","363717.0","247487.0","668065.0","87149.0","66.0","1366418.0","2019"
"SSD",,,,,,"4598.0","2237.0","3853.0","374.0","80.0","11062.0","2019"
"JOR","74.0","15.0","3.9196676056E10","4104.0","2.0","3388.0","1846.0","3959.0","361.0","9.0","9554.0","2016"
"LVA","75.0","4.0","3.027300751E10","15587.0","3.8","304.0","183.0","1077.0","387.0","32.0","1951.0","2017"
"URY",,,"5.6045912952E10","16190.0","0.2","708.0","504.0","1732.0","517.0","5.0","3462.0","2019"
"ZWE","60.0","36.0","2.05486781E10","1465.0","0.8","5986.0","2828.0","4815.0","402.0","68.0","14030.0","2016"
"BOL","71.0","22.0","4.0287647902E10","3549.0","4.2","3528.0","2161.0","4848.0","817.0","31.0","11353.0","2018"
"ISR","82.0","3.0","2.99813121213E11","35777.0","2.3","2223.0","1182.0","3678.0","896.0","8.0","7978.0","2015"
"NIU",,,,,,,,"1.0",,,"2.0","2015"
"EGY","72.0","18.0","2.50894760351E11","2549.0","5.3","33266.0","16851.0","43159.0","5147.0","57.0","98424.0","2018"
"URY","78.0","6.0","5.9596885023E10","17278.0","1.6","711.0","509.0","1719.0","511.0","5.0","3449.0","2018"
"NIU",,,,,,,,"1.0",,,"2.0","2017"
"RWA","68.0","29.0","8.734161828E9","749.0","6.0","4705.0","2298.0","4343.0","323.0","83.0","11669.0","2016"
"TJK","70.0","32.0","6.952678127E9","803.0","6.9","3130.0","1679.0","3598.0","256.0","73.0","8664.0","2016"
"BRB","79.0","12.0","4.715E9","16525.0","2.4","52.0","38.0","153.0","42.0","69.0","285.0","2015"
"PAN","78.0","15.0","5.40917E10","13630.0","5.7","1105.0","667.0","1897.0","300.0","33.0","3968.0","2015"
"CUW",,,"3.127908045E9","19574.0","-2.2","31.0","20.0","84.0","27.0","11.0","163.0","2018"
"GRD","72.0","14.0","1.168696296E9","10486.0","4.1","26.0","17.0","57.0","11.0","64.0","111.0","2018"
"UKR","71.0","8.0","9.1030959455E10","2125.0","-9.8",,,,,"31.0",,"2015"
"DOM","74.0","24.0","8.5555378043E10","8051.0","7.0","2973.0","1911.0","4990.0","753.0","19.0","10627.0","2018"
"KGZ","71.0","19.0","6.813092066E9","1121.0","4.3","1939.0","1072.0","2799.0","265.0","64.0","6074.0","2016"
"KOR","83.0","3.0","1.720578827806E12","33340.0","2.7","6639.0","6164.0","30991.0","7378.0","19.0","51172.0","2018"
"VEN",,,,,,"7815.0","4641.0","13890.0","2170.0","12.0","28516.0","2019"
"NIU",,,,,,,,"1.0",,,"2.0","2016"
"NIU",,,,,,,,"1.0",,,"2.0","2018"
"LBN","79.0","7.0","5.3140638269E10","7801.0","0.9",,,,,"12.0",,"2017"
"CHE",,,"7.0308243536E11","81994.0","0.9","1284.0","917.0","4772.0","1618.0","26.0","8591.0","2019"
"BOL","71.0","24.0","3.3941126194E10","3077.0","4.3","3528.0","2113.0","4629.0","761.0","31.0","11032.0","2016"
"NGA","53.0","79.0","4.94583180777E11","2730.0","2.7","79937.0","34305.0","61941.0","4955.0","52.0","181137.0","2015"
"CYP","81.0","2.0","2.0890936462E10","24533.0","6.7","197.0","179.0","640.0","154.0","33.0","1170.0","2016"
"HRV","78.0","4.0","6.0991399904E10","14920.0","2.7","603.0","454.0","2250.0","850.0","43.0","4156.0","2018"
"AGO",,,"9.463541587E10","2974.0","-0.9","14838.0","6178.0","10110.0","700.0","34.0","31825.0","2019"
"PRI","80.0",,"1.034455E11","31109.0","-2.9","551.0","405.0","1646.0","561.0","6.0","3164.0","2017"
"TLS","69.0","39.0","1.568611562E9","1237.0","-0.8","479.0","274.0","461.0","55.0","69.0","1268.0","2018"
"ROU","75.0","7.0","2.11695422579E11","10808.0","7.1","3036.0","2086.0","11017.0","3514.0","46.0","19654.0","2017"
"NIU",,,,,,,,"1.0",,,"2.0","2019"
"DOM","73.0","26.0","7.1164825257E10","6922.0","6.9","2964.0","1927.0","4722.0","669.0","21.0","10282.0","2015"
"SWE","82.0","2.0","5.0510378135E11","51545.0","4.5","1689.0","1204.0","4958.0","1915.0","13.0","9765.0","2015"
"PRY","74.0","17.0","4.0384691791E10","5806.0","3.4","2048.0","1346.0","3115.0","447.0","38.0","6956.0","2018"
"SAU","75.0","7.0","6.4493554144E11","19879.0","1.7","8281.0","4862.0","18292.0","1008.0","17.0","32443.0","2016"
"IDN","71.0","22.0","1.015618742566E12","3838.0","5.1","71231.0","44951.0","133432.0","15037.0","45.0","264651.0","2017"
"TTO","73.0","17.0","2.2474828527E10","16238.0","-2.3","284.0","178.0","778.0","143.0","47.0","1384.0","2017"
"CRI","80.0","8.0","5.8481858043E10","11815.0","3.9","1068.0","800.0","2624.0","458.0","21.0","4950.0","2017"
"LKA","77.0","6.0","8.8425889592E10","4081.0","3.3","5137.0","3120.0","10749.0","2223.0","82.0","21229.0","2018"
"SLB",,,"1.425074226E9","2128.0","2.7","269.0","128.0","249.0","24.0","76.0","670.0","2019"
"SYR",,,,,,"5302.0","3153.0","7814.0","801.0","45.0","17070.0","2019"
"AFG","64.0","48.0","1.9484384937E10","524.0","1.8","16017.0","8071.0","12122.0","961.0","75.0","37172.0","2018"
"ROU","75.0","8.0","1.77893451831E11","8977.0","3.9","3094.0","2218.0","11233.0","3380.0","46.0","19925.0","2015"
"CRI","80.0","8.0","5.7157992434E10","11666.0","4.2","1071.0","811.0","2578.0","439.0","22.0","4899.0","2016"
"GEO","73.0","9.0","1.4953950557E10","4014.0","3.0","763.0","520.0","2164.0","577.0","43.0","4024.0","2015"
"ZWE","61.0","34.0","2.43115605E10","1684.0","4.8","6122.0","2887.0","5005.0","424.0","68.0","14439.0","2018"
"YEM","66.0","43.0","2.8084676409E10","1034.0","-9.4","10966.0","5904.0","9530.0","768.0","65.0","27168.0","2016"
"SYC","73.0","12.0","1.586008997E9","16391.0","3.8","23.0","13.0","54.0","7.0","43.0","97.0","2018"
"DMA",,,"5.96033333E8","8300.0","5.7","13.0","12.0","39.0","7.0","29.0","72.0","2019"
"NAM","62.0","34.0","1.127214355E10","4869.0","4.5","854.0","488.0","886.0","87.0","53.0","2315.0","2015"
"MKD","75.0","11.0","1.0672471861E10","5129.0","2.8","349.0","278.0","1186.0","268.0","42.0","2081.0","2016"
"PAK","67.0","57.0","3.14567541558E11","1482.0","5.8","74853.0","41935.0","86288.0","9153.0","63.0","212228.0","2018"
"CYP","80.0","2.0","1.9779150116E10","23334.0","3.4","196.0","186.0","630.0","149.0","33.0","1161.0","2015"
"TUR","77.0","10.0","8.52676779694E11","10514.0","7.5","20281.0","13288.0","40851.0","6697.0","25.0","81116.0","2017"
"BWA","69.0","30.0","1.8663264706E10","8280.0","4.5","769.0","415.0","975.0","95.0","31.0","2254.0","2018"
"TGO","61.0","47.0","5.35634485E9","679.0","4.9","3261.0","1534.0","2867.0","226.0","58.0","7889.0","2018"
"COL","77.0","14.0","2.93481753079E11","6176.0","3.0","11657.0","8563.0","23645.0","3657.0","20.0","47521.0","2015"
"SEN","67.0","34.0","1.9040312815E10","1270.0","6.4","6504.0","2955.0","5075.0","460.0","54.0","14994.0","2016"
"NPL","70.0","27.0","2.9173513476E10","1039.0","6.7","8545.0","6324.0","11617.0","1609.0","80.0","28096.0","2018"
"PSE","73.0","19.0","1.2673E10","2968.0","3.4","1807.0","986.0","1600.0","137.0","25.0","4529.0","2015"
"SLB","73.0","18.0","1.309631133E9","2059.0","3.7","257.0","122.0","235.0","23.0","77.0","636.0","2017"
"PNG","64.0","40.0","2.0759069103E10","2510.0","4.1","3016.0","1612.0","3370.0","274.0","87.0","8272.0","2016"
"BEN","61.0","63.0","1.1821066153E10","1087.0","3.3","4660.0","2158.0","3702.0","352.0","54.0","10872.0","2016"
"GHA","64.0","35.0","6.5556464048E10","2202.0","6.3","11191.0","5792.0","11870.0","914.0","44.0","29767.0","2018"
"TCD",,,"1.1314951343E10","710.0","3.2","7466.0","3277.0","4806.0","397.0","77.0","15947.0","2019"
"LAO","68.0","38.0","1.7953786416E10","2542.0","6.2","2302.0","1403.0","3069.0","288.0","65.0","7062.0","2018"
"CUW","78.0",,"3.122287933E9","19555.0","-1.0","32.0","20.0","84.0","25.0","11.0","161.0","2016"
"MYS","76.0","7.0","3.58581943446E11","11373.0","4.7","7565.0","5626.0","16233.0","2103.0","24.0","31528.0","2018"
"COD","59.0","74.0","3.79177049E10","497.0","6.9","35335.0","14401.0","24208.0","2301.0","57.0","76245.0","2015"
"ITA","83.0","3.0","2.085764300862E12","34520.0","0.8","8081.0","5837.0","32915.0","13794.0","30.0","60627.0","2018"
"AZE","73.0","19.0","4.7112941176E10","4740.0","1.5","2325.0","1442.0","5566.0","616.0","44.0","9950.0","2018"
"MCO",,"3.0","7.188238073E9","185829.0","6.1",,,,,,,"2018"
"ZAF","63.0","31.0","2.96357282715E11","5273.0","0.4","16420.0","9945.0","26963.0","2879.0","35.0","56208.0","2016"
"VIR","79.0",,"3.855E9","35938.0","-1.7","21.0","14.0","51.0","20.0","4.0","105.0","2017"
"UGA",,,"3.4387229486E10","777.0","6.5","20585.0","9226.0","13590.0","869.0","76.0","44270.0","2019"
"DMA",,"31.0","5.7622963E8","8081.0","2.6","14.0","14.0","37.0","7.0","30.0","71.0","2016"
"GNQ",,,"1.1026774945E10","8132.0","-5.6","501.0","253.0","569.0","33.0","27.0","1356.0","2019"
"MNE",,,"5.494736901E9","8832.0","3.6","114.0","81.0","336.0","97.0","33.0","628.0","2019"
"PHL",,,"3.7679550868E11","3485.0","6.0","32949.0","20459.0","48962.0","5746.0","53.0","108117.0","2019"
"LBN","79.0","7.0","4.9939374833E10","7645.0","0.2",,,,,"12.0",,"2015"
"BLR","74.0","3.0","5.6454734397E10","5949.0","-3.8","1535.0","1061.0","5492.0","1352.0","23.0","9439.0","2015"
"NIC",,,"1.2520915291E10","1913.0","-3.9","1954.0","1190.0","3044.0","357.0","41.0","6546.0","2019"
"VNM",,,"2.61921244843E11","2715.0","7.0","22393.0","13620.0","53163.0","7286.0","63.0","96462.0","2019"
"VEN","73.0","17.0",,,,"8537.0","5315.0","14315.0","1915.0","12.0","30082.0","2015"
"BLZ","74.0","12.0","1.8366E9","4888.0","1.9","116.0","77.0","166.0","17.0","54.0","376.0","2017"
"NOR",,,"4.03336363636E11","75420.0","1.2","937.0","676.0","2837.0","929.0","17.0","5379.0","2019"
"PNG","64.0","39.0","2.2742613554E10","2695.0","3.5","3049.0","1651.0","3453.0","285.0","87.0","8438.0","2017"
"PAN","78.0","14.0","6.2219E10","15150.0","5.6","1123.0","684.0","1976.0","325.0","33.0","4107.0","2017"
"IRL","82.0","3.0","3.82674360766E11","78621.0","8.2","1032.0","573.0","2546.0","668.0","37.0","4819.0","2018"
"MAR",,,"1.18725279596E11","3204.0","2.3","9836.0","5862.0","18110.0","2663.0","37.0","36472.0","2019"
"COM",,,"1.185728677E9","1394.0","2.7","334.0","166.0","325.0","26.0","71.0","851.0","2019"
"GBR","81.0","4.0","2.860667727552E12","43043.0","1.3","11869.0","7867.0","35054.0","12351.0","17.0","67142.0","2018"
"LVA","74.0","4.0","2.7090019663E10","13699.0","3.3","302.0","212.0","1094.0","390.0","32.0","1998.0","2015"
"UZB","71.0","20.0","5.9159945321E10","1827.0","4.5","9114.0","5700.0","15782.0","1363.0","49.0","31960.0","2017"
"ISL","82.0","2.0","2.0618363256E10","61467.0","6.6","67.0","47.0","172.0","47.0","6.0","332.0","2016"
"MAC","84.0",,"4.5361678147E10","75341.0","-21.6","76.0","79.0","395.0","52.0",,"602.0","2015"
"AIA",,,,,,"3.0","2.0","8.0","1.0",,"14.0","2015"
"AIA",,,,,,"3.0","2.0","8.0","1.0",,"14.0","2016"
"AIA",,,,,,"3.0","2.0","8.0","1.0",,"15.0","2017"
"AIA",,,,,,"3.0","2.0","8.0","1.0",,"15.0","2018"
"AIA",,,,,,"3.0","2.0","8.0","2.0",,"15.0","2019"
"GRC","82.0","4.0","2.18138367445E11","20324.0","1.9","1481.0","1061.0","5702.0","2279.0","21.0","10522.0","2018"
"DEU","81.0","3.0","3.665804120835E12","44350.0","2.5","11118.0","8683.0","45192.0","17665.0","23.0","82658.0","2017"
"FRO","82.0",,"2.518096286E9","52405.0",,"10.0","6.0","24.0","8.0","58.0","48.0","2015"
