Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_PCAP_CD
ABW,76.0,null,28281.0
AFG,64.0,51.0,547.0
AGO,60.0,56.0,3506.0
ALB,78.0,8.0,4124.0
AND,null,3.0,37475.0
ARE,77.0,7.0,38142.0
ARG,76.0,10.0,12790.0
ARM,75.0,12.0,3592.0
ASM,null,null,11697.0
ATG,77.0,5.0,15198.0
AUS,82.0,3.0,49971.0
AUT,82.0,3.0,45238.0
AZE,72.0,22.0,3881.0
BDI,61.0,44.0,282.0
BEL,81.0,3.0,41998.0
BEN,61.0,63.0,1087.0
BFA,60.0,52.0,688.0
BGD,72.0,28.0,1402.0
BGR,75.0,7.0,7546.0
BHR,77.0,6.0,22619.0
BHS,73.0,9.0,31589.0
BIH,77.0,5.0,4995.0
BLR,74.0,3.0,5023.0
BLZ,74.0,12.0,4818.0
BOL,71.0,24.0,3077.0
BRA,75.0,15.0,8710.0
BRB,79.0,12.0,16900.0
BRN,75.0,9.0,27158.0
BTN,71.0,27.0,2931.0
BWA,68.0,32.0,7244.0
CAF,52.0,88.0,402.0
CAN,82.0,5.0,42322.0
CHE,84.0,4.0,80172.0
CHL,80.0,7.0,13754.0
CHN,76.0,9.0,8148.0
CIV,57.0,63.0,2013.0
CMR,58.0,54.0,1364.0
COD,60.0,72.0,471.0
COG,64.0,38.0,1815.0
COL,77.0,13.0,5871.0
COM,64.0,54.0,1273.0
CPV,72.0,18.0,3131.0
CRI,80.0,8.0,11666.0
CUB,79.0,4.0,8061.0
CUW,78.0,null,19555.0
CYM,null,null,78296.0
CYP,81.0,2.0,24533.0
CZE,79.0,3.0,18463.0
DEU,81.0,3.0,42099.0
DJI,65.0,53.0,2802.0
DMA,null,31.0,8081.0
DNK,81.0,4.0,54664.0
DOM,73.0,25.0,7281.0
DZA,76.0,21.0,3946.0
ECU,76.0,13.0,6060.0
EGY,71.0,19.0,3525.0
ESP,83.0,3.0,26505.0
EST,78.0,2.0,18237.0
ETH,65.0,42.0,717.0
FIN,81.0,2.0,43784.0
FJI,67.0,21.0,5651.0
FRA,83.0,3.0,37037.0
FRO,82.0,null,55823.0
FSM,67.0,27.0,3015.0
GAB,65.0,35.0,6984.0
GBR,81.0,4.0,41064.0
GEO,73.0,9.0,4062.0
GHA,63.0,37.0,1931.0
GIN,60.0,68.0,733.0
GMB,61.0,41.0,684.0
GNB,57.0,58.0,661.0
GNQ,58.0,66.0,9250.0
GRC,81.0,4.0,18116.0
GRD,72.0,14.0,9628.0
GRL,71.0,null,48182.0
GTM,74.0,23.0,4173.0
GUM,79.0,null,35563.0
GUY,69.0,27.0,4543.0
HKG,84.0,null,43731.0
HND,75.0,16.0,2343.0
HRV,78.0,4.0,12360.0
HTI,63.0,52.0,735.0
HUN,76.0,4.0,12992.0
IDN,71.0,23.0,3563.0
IMN,null,null,79156.0
IND,69.0,33.0,1733.0
IRL,82.0,3.0,63197.0
IRN,76.0,13.0,5253.0
IRQ,70.0,24.0,4777.0
ISL,82.0,2.0,61467.0
ISR,82.0,3.0,37322.0
ITA,83.0,3.0,30940.0
JAM,74.0,13.0,4843.0
JOR,74.0,15.0,4104.0
JPN,84.0,2.0,38762.0
KAZ,72.0,10.0,7715.0
