ref_area,sex,classif1,time,obs_value
AFG,SEX_T,AGE_YTHADULT_YGE15,2015.0,45.73620722
AFG,SEX_T,AGE_YTHADULT_Y15-24,2015.0,52.73303912
AFG,SEX_T,AGE_YTHADULT_YGE25,2015.0,42.83407052
AFG,SEX_M,AGE_YTHADULT_YGE15,2015.0,43.00776093
AFG,SEX_M,AGE_YTHADULT_Y15-24,2015.0,51.38438527
AFG,SEX_M,AGE_YTHADULT_YGE25,2015.0,39.67089772
AFG,SEX_F,AGE_YTHADULT_YGE15,2015.0,58.04958534
AFG,SEX_F,AGE_YTHADULT_Y15-24,2015.0,57.97718344
AFG,SEX_F,AGE_YTHADULT_YGE25,2015.0,58.08534469
AFG,SEX_T,AGE_YTHADULT_YGE15,2016.0,44.32309524
AFG,SEX_T,AGE_YTHADULT_Y15-24,2016.0,51.77450262
AFG,SEX_T,AGE_YTHADULT_YGE25,2016.0,41.23808705
AFG,SEX_M,AGE_YTHADULT_YGE15,2016.0,41.34841573
AFG,SEX_M,AGE_YTHADULT_Y15-24,2016.0,50.35580779
AFG,SEX_M,AGE_YTHADULT_YGE25,2016.0,37.78059344
AFG,SEX_F,AGE_YTHADULT_YGE15,2016.0,56.88610185
AFG,SEX_F,AGE_YTHADULT_Y15-24,2016.0,56.90826106
AFG,SEX_F,AGE_YTHADULT_YGE25,2016.0,56.87508052
AFG,SEX_T,AGE_YTHADULT_YGE15,2017.0,42.56496454
AFG,SEX_T,AGE_YTHADULT_Y15-24,2017.0,50.4862374
AFG,SEX_T,AGE_YTHADULT_YGE25,2017.0,39.29194138
AFG,SEX_M,AGE_YTHADULT_YGE15,2017.0,39.32196446
AFG,SEX_M,AGE_YTHADULT_Y15-24,2017.0,48.99734211
AFG,SEX_M,AGE_YTHADULT_YGE25,2017.0,35.51157877
AFG,SEX_F,AGE_YTHADULT_YGE15,2017.0,55.36562081
AFG,SEX_F,AGE_YTHADULT_Y15-24,2017.0,55.49984024
AFG,SEX_F,AGE_YTHADULT_YGE25,2017.0,55.29920004
AFG,SEX_T,AGE_YTHADULT_YGE15,2018.0,41.43420816
AFG,SEX_T,AGE_YTHADULT_Y15-24,2018.0,49.49554471
AFG,SEX_T,AGE_YTHADULT_YGE25,2018.0,38.11078027
AFG,SEX_M,AGE_YTHADULT_YGE15,2018.0,38.1019308
AFG,SEX_M,AGE_YTHADULT_Y15-24,2018.0,47.9756899
AFG,SEX_M,AGE_YTHADULT_YGE25,2018.0,34.22702303
AFG,SEX_F,AGE_YTHADULT_YGE15,2018.0,54.28694162
AFG,SEX_F,AGE_YTHADULT_Y15-24,2018.0,54.490072999999995
AFG,SEX_F,AGE_YTHADULT_YGE25,2018.0,54.18653053
AFG,SEX_T,AGE_YTHADULT_YGE15,2019.0,40.11020013
AFG,SEX_T,AGE_YTHADULT_Y15-24,2019.0,48.380114500000005
AFG,SEX_T,AGE_YTHADULT_YGE25,2019.0,36.7249133
AFG,SEX_M,AGE_YTHADULT_YGE15,2019.0,36.70352889
AFG,SEX_M,AGE_YTHADULT_Y15-24,2019.0,46.83969044
AFG,SEX_M,AGE_YTHADULT_YGE25,2019.0,32.75605721
AFG,SEX_F,AGE_YTHADULT_YGE15,2019.0,53.11902375
AFG,SEX_F,AGE_YTHADULT_Y15-24,2019.0,53.38741295
AFG,SEX_F,AGE_YTHADULT_YGE25,2019.0,52.98730971
AGO,SEX_T,AGE_YTHADULT_YGE15,2015.0,28.45810444
AGO,SEX_T,AGE_YTHADULT_Y15-24,2015.0,34.63205457
AGO,SEX_T,AGE_YTHADULT_YGE25,2015.0,26.49154429
AGO,SEX_M,AGE_YTHADULT_YGE15,2015.0,27.58638904
