Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_MKTP_CD,NY_GDP_PCAP_CD,NY_GDP_MKTP_KD_ZG,200343,200144,200345,200151,SP_RUR_TOTL_ZS,200101
ABW,76.0,,3056424581.0,29008.0,2.0,19.0,15.0,58.0,14.0,57.0,105.0
AFG,64.0,49.0,20191760000.0,556.0,2.7,15855.0,7823.0,11691.0,927.0,75.0,36296.0
AGO,60.0,53.0,122123822334.0,4096.0,-0.1,14000.0,5754.0,9395.0,668.0,35.0,29817.0
AIA,,,,,,3.0,2.0,8.0,1.0,,15.0
ALB,78.0,8.0,13019693451.0,4531.0,3.8,520.0,472.0,1508.0,384.0,41.0,2884.0
ARE,78.0,7.0,385605506855.0,40645.0,2.4,1376.0,1130.0,6883.0,98.0,14.0,9487.0
ARG,76.0,9.0,642695864756.0,14592.0,2.7,10952.0,7023.0,21134.0,4829.0,8.0,43937.0
ARM,75.0,12.0,11527458566.0,3915.0,7.5,602.0,383.0,1633.0,327.0,37.0,2945.0
ASM,,,602000000.0,10823.0,-5.9,17.0,11.0,25.0,3.0,13.0,56.0
ATG,77.0,5.0,1467977778.0,15383.0,3.1,21.0,15.0,51.0,8.0,75.0,95.0
AUS,83.0,3.0,1330135756844.0,54066.0,2.4,4687.0,3136.0,12975.0,3787.0,14.0,24585.0
AUT,82.0,3.0,418316161096.0,47549.0,2.5,1255.0,993.0,4900.0,1672.0,42.0,8820.0
AZE,73.0,20.0,40865558912.0,4147.0,0.2,2293.0,1496.0,5467.0,590.0,45.0,9845.0
BDI,61.0,42.0,3172292379.0,293.0,0.5,4932.0,2120.0,3538.0,237.0,87.0,10827.0
BEL,81.0,3.0,503788776543.0,44289.0,1.9,1946.0,1313.0,6039.0,2122.0,2.0,11420.0
BEN,61.0,62.0,12701656931.0,1137.0,5.7,4768.0,2218.0,3827.0,363.0,53.0,11175.0
BFA,61.0,50.0,14169905602.0,738.0,6.2,8672.0,3838.0,6221.0,462.0,71.0,19193.0
BGD,72.0,27.0,249711052937.0,1564.0,7.3,45071.0,30664.0,75728.0,8223.0,64.0,159685.0
BGR,75.0,6.0,58950125036.0,8331.0,3.5,1026.0,648.0,3955.0,1474.0,25.0,7102.0
BHR,77.0,6.0,35423643617.0,23709.0,3.8,296.0,192.0,970.0,35.0,11.0,1494.0
BHS,74.0,9.0,12150400000.0,31827.0,0.1,87.0,66.0,201.0,27.0,17.0,382.0
BIH,77.0,5.0,18080118128.0,5395.0,2.1,,,,,52.0,
BLM,,,,,,2.0,1.0,5.0,1.0,,10.0
BLR,74.0,3.0,54726595249.0,5762.0,2.5,1579.0,966.0,5528.0,1377.0,22.0,9450.0
BLZ,74.0,12.0,1836600000.0,4888.0,1.9,116.0,77.0,166.0,17.0,54.0,376.0
BMU,81.0,,,,,9.0,7.0,33.0,13.0,,63.0
BOL,71.0,23.0,37508642113.0,3351.0,4.2,3530.0,2137.0,4737.0,789.0,31.0,11193.0
BRA,75.0,13.0,2062831045936.0,9925.0,1.3,45066.0,34088.0,110794.0,17885.0,14.0,207834.0
BRB,79.0,12.0,4978000000.0,17391.0,0.5,50.0,38.0,154.0,44.0,69.0,286.0
BRN,76.0,10.0,12128104859.0,28572.0,1.3,100.0,70.0,236.0,19.0,23.0,424.0
BTN,71.0,26.0,2450364928.0,3287.0,4.7,195.0,151.0,355.0,44.0,60.0,746.0
BWA,69.0,31.0,17405538618.0,7893.0,2.9,759.0,408.0,947.0,90.0,31.0,2205.0
CAF,52.0,87.0,2072350151.0,451.0,4.5,2052.0,978.0,1436.0,130.0,59.0,4596.0
CAN,82.0,4.0,1649878054227.0,45149.0,3.2,5829.0,4563.0,20153.0,6187.0,19.0,36732.0
CHE,84.0,4.0,679950482029.0,80450.0,1.8,1258.0,932.0,4708.0,1558.0,26.0,8456.0
CHL,80.0,6.0,277044950259.0,14999.0,1.2,3699.0,2775.0,9929.0,2067.0,13.0,18470.0
CHN,76.0,8.0,12310408652424.0,8879.0,6.9,254894.0,176118.0,843003.0,147006.0,42.0,1421022.0
CIV,57.0,61.0,51588158718.0,2111.0,7.4,10304.0,5041.0,8397.0,694.0,50.0,24437.0
CMR,59.0,52.0,35009262788.0,1425.0,3.5,10531.0,4867.0,8497.0,671.0,44.0,24566.0
COD,60.0,70.0,38019265626.0,467.0,3.7,37674.0,15416.0,25851.0,2458.0,56.0,81399.0
COG,64.0,37.0,9035182062.0,1768.0,-1.8,2144.0,947.0,1885.0,135.0,34.0,5111.0
COK,,,,,,4.0,3.0,9.0,2.0,,18.0
COL,77.0,13.0,311883730442.0,6378.0,1.4,11522.0,8680.0,24698.0,4010.0,20.0,48910.0
COM,64.0,53.0,1077439663.0,1324.0,3.8,324.0,160.0,306.0,24.0,71.0,814.0
CPV,73.0,17.0,1769787215.0,3293.0,3.7,157.0,100.0,256.0,24.0,35.0,537.0
CRI,80.0,8.0,58481858043.0,11815.0,3.9,1068.0,800.0,2624.0,458.0,21.0,4950.0
CUB,79.0,4.0,96851000000.0,8541.0,1.8,1860.0,1403.0,6400.0,1676.0,23.0,11339.0
CUW,78.0,,3116610112.0,19458.0,-1.7,31.0,20.0,84.0,26.0,11.0,162.0
CYM,,,5141833913.0,81125.0,3.0,12.0,8.0,38.0,6.0,,63.0
CYP,81.0,2.0,22638608224.0,26339.0,4.4,199.0,174.0,649.0,158.0,33.0,1180.0
CZE,79.0,3.0,215913545038.0,20380.0,4.4,1637.0,1004.0,5978.0,2021.0,26.0,10641.0
DEU,81.0,3.0,3665804120835.0,44350.0,2.5,11118.0,8683.0,45192.0,17665.0,23.0,82658.0
DJI,66.0,51.0,2751461056.0,2914.0,5.4,283.0,179.0,440.0,42.0,22.0,944.0
DMA,,32.0,519837037.0,7275.0,-6.8,13.0,13.0,38.0,7.0,30.0,71.0
DNK,81.0,4.0,329417067128.0,57141.0,2.0,945.0,741.0,2919.0,1127.0,12.0,5732.0
DOM,74.0,25.0,79997975622.0,7609.0,4.7,2970.0,1918.0,4902.0,723.0,20.0,10513.0
DZA,76.0,21.0,167389364981.0,4044.0,1.3,12268.0,6242.0,20323.0,2557.0,28.0,41389.0
ECU,77.0,12.0,104295862000.0,6214.0,2.4,4761.0,3061.0,7797.0,1167.0,36.0,16785.0
EGY,72.0,19.0,235369129338.0,2441.0,4.2,32574.0,16712.0,42153.0,5003.0,57.0,96443.0
ERI,66.0,32.0,,,,1432.0,619.0,1210.0,153.0,,3413.0
ESH,,,,,,155.0,96.0,286.0,16.0,,553.0
ESP,83.0,3.0,1312551705955.0,28170.0,2.9,6859.0,4497.0,26361.0,8931.0,20.0,46647.0
EST,78.0,2.0,26859101054.0,20388.0,5.7,214.0,128.0,723.0,255.0,31.0,1319.0
ETH,66.0,41.0,81770791971.0,769.0,9.6,43891.0,23023.0,35775.0,3711.0,80.0,106400.0
FIN,82.0,2.0,255122545771.0,46317.0,3.1,896.0,634.0,2809.0,1173.0,15.0,5511.0
FJI,67.0,21.0,5353404422.0,6101.0,5.4,260.0,146.0,425.0,46.0,44.0,877.0
FLK,,,,,,,,2.0,1.0,,3.0
FRA,83.0,3.0,2595151045198.0,38812.0,2.3,11743.0,7544.0,32801.0,12754.0,20.0,64843.0
FRO,82.0,,2833300519.0,58623.0,,10.0,7.0,24.0,8.0,58.0,48.0
FSM,68.0,26.0,366666800.0,3290.0,2.7,36.0,24.0,48.0,4.0,77.0,111.0
GAB,66.0,34.0,14929488771.0,7230.0,0.5,760.0,366.0,864.0,74.0,11.0,2065.0
GBR,81.0,4.0,2666229179958.0,40361.0,1.9,11767.0,7942.0,34813.0,12205.0,17.0,66727.0
GEO,73.0,9.0,16242916916.0,4357.0,4.8,783.0,485.0,2152.0,588.0,42.0,4009.0
GHA,63.0,36.0,58998132330.0,2026.0,8.1,11014.0,5691.0,11529.0,888.0,45.0,29121.0
GIB,,,,,,7.0,5.0,16.0,6.0,,34.0
GIN,61.0,66.0,10336634799.0,857.0,10.3,5340.0,2575.0,3802.0,351.0,64.0,12068.0
GLP,,,,,,78.0,54.0,198.0,71.0,,400.0
GMB,61.0,40.0,1498044491.0,677.0,4.8,982.0,452.0,721.0,58.0,39.0,2214.0
GNB,58.0,56.0,1346841897.0,737.0,5.9,777.0,364.0,637.0,51.0,57.0,1828.0
GNQ,58.0,65.0,12200914930.0,9668.0,-5.7,471.0,235.0,525.0,31.0,28.0,1262.0
GRC,81.0,4.0,203588424288.0,18930.0,1.5,1501.0,1068.0,5739.0,2262.0,21.0,10569.0
GRD,72.0,14.0,1125685185.0,10153.0,4.4,26.0,18.0,57.0,11.0,64.0,111.0
GRL,,,2826651926.0,50321.0,0.5,12.0,8.0,32.0,5.0,13.0,56.0
GTM,74.0,23.0,71612352781.0,4451.0,3.0,5929.0,3596.0,6596.0,794.0,49.0,16915.0
GUF,,,,,,90.0,48.0,124.0,13.0,,275.0
GUM,80.0,,5851000000.0,35616.0,0.2,41.0,28.0,80.0,16.0,5.0,164.0
GUY,70.0,26.0,3555205811.0,4586.0,2.1,222.0,159.0,347.0,48.0,73.0,775.0
HKG,85.0,,341244161577.0,46166.0,3.8,838.0,747.0,4530.0,1191.0,,7306.0
HND,75.0,16.0,23136232230.0,2454.0,4.8,3050.0,1997.0,3953.0,430.0,44.0,9429.0
HRV,78.0,4.0,55319605061.0,13412.0,3.1,604.0,466.0,2276.0,838.0,43.0,4183.0
HTI,63.0,51.0,8409497402.0,766.0,1.2,3693.0,2165.0,4593.0,531.0,46.0,10982.0
HUN,76.0,4.0,141510583020.0,14458.0,4.3,1398.0,1084.0,5439.0,1808.0,29.0,9730.0
IDN,71.0,22.0,1015618742566.0,3838.0,5.1,71231.0,44951.0,133432.0,15037.0,45.0,264651.0
IMN,,,6770532819.0,80989.0,3.6,13.0,10.0,43.0,18.0,48.0,84.0
IND,69.0,32.0,2652754685835.0,1982.0,7.0,367851.0,245212.0,645519.0,80095.0,66.0,1338677.0
IRL,82.0,3.0,335663113960.0,69822.0,8.1,1027.0,558.0,2526.0,642.0,37.0,4753.0
IRN,76.0,13.0,445345282123.0,5520.0,3.8,19562.0,11663.0,44578.0,4872.0,26.0,80674.0
IRQ,70.0,23.0,195473049875.0,5205.0,-2.5,14561.0,7531.0,14248.0,1213.0,30.0,37553.0
ISL,83.0,2.0,24488176540.0,71311.0,4.5,67.0,46.0,174.0,48.0,6.0,334.0
ISR,83.0,3.0,353253406955.0,40542.0,3.5,2304.0,1223.0,3751.0,967.0,8.0,8244.0
ITA,83.0,3.0,1961796197354.0,32407.0,1.7,8176.0,5848.0,32999.0,13651.0,30.0,60674.0
JAM,74.0,13.0,14806340821.0,5069.0,1.0,701.0,528.0,1437.0,254.0,45.0,2921.0
JOR,74.0,14.0,40708943662.0,4163.0,2.1,3414.0,1890.0,4109.0,373.0,9.0,9786.0
KAZ,73.0,9.0,166805800596.0,9248.0,4.1,5047.0,2384.0,9359.0,1290.0,43.0,18080.0
KEN,66.0,32.0,78965004656.0,1572.0,4.8,20264.0,10292.0,18532.0,1133.0,73.0,50221.0
KGZ,71.0,18.0,7702934800.0,1243.0,4.7,1992.0,1051.0,2873.0,273.0,64.0,6190.0
KHM,69.0,25.0,22177200512.0,1385.0,6.8,5007.0,3143.0,7154.0,706.0,77.0,16009.0
KIR,68.0,42.0,187276211.0,1641.0,0.9,40.0,22.0,48.0,4.0,47.0,114.0
KNA,,10.0,996937037.0,19155.0,-2.0,11.0,8.0,30.0,4.0,69.0,52.0
KOR,83.0,3.0,1623901496836.0,31617.0,3.2,6758.0,6391.0,30870.0,7078.0,18.0,51096.0
KWT,75.0,7.0,120707220574.0,29759.0,-4.7,869.0,430.0,2661.0,97.0,,4056.0
LAO,67.0,39.0,16853087485.0,2424.0,6.9,2286.0,1408.0,2982.0,278.0,66.0,6953.0
LBR,63.0,55.0,3285455000.0,699.0,2.5,1950.0,917.0,1684.0,152.0,49.0,4702.0
LBY,73.0,11.0,37883243650.0,5757.0,26.7,1878.0,1092.0,3326.0,285.0,20.0,6581.0
LCA,76.0,15.0,1999090407.0,11047.0,3.5,34.0,32.0,97.0,17.0,81.0,181.0
LIE,84.0,,6552858739.0,173356.0,,6.0,4.0,21.0,6.0,86.0,38.0
LKA,77.0,7.0,87428125558.0,4077.0,3.6,5157.0,3114.0,10719.0,2139.0,82.0,21128.0
LSO,53.0,69.0,2405289382.0,1150.0,-1.3,690.0,421.0,879.0,102.0,72.0,2092.0
LTU,75.0,4.0,47750908128.0,16883.0,4.2,419.0,325.0,1552.0,549.0,32.0,2845.0
LUX,82.0,2.0,64181944723.0,107627.0,1.8,95.0,73.0,340.0,83.0,9.0,592.0
LVA,75.0,4.0,30273007510.0,15587.0,3.8,304.0,183.0,1077.0,387.0,32.0,1951.0
MAC,84.0,,50751059058.0,81517.0,9.9,83.0,70.0,409.0,61.0,,623.0
MAF,80.0,,,,,10.0,5.0,19.0,3.0,,37.0
MAR,76.0,20.0,109714300454.0,3036.0,4.2,9768.0,5938.0,17473.0,2403.0,38.0,35581.0
MDA,72.0,14.0,9669759987.0,3510.0,4.7,642.0,511.0,2464.0,443.0,57.0,4060.0
MDG,66.0,39.0,13176313233.0,515.0,3.9,10477.0,5262.0,9082.0,749.0,63.0,25571.0
MDV,78.0,8.0,4735989972.0,9541.0,6.8,101.0,91.0,285.0,19.0,61.0,496.0
MEX,75.0,12.0,1157736189998.0,9278.0,2.1,33614.0,22098.0,60280.0,8785.0,20.0,124777.0
MHL,,28.0,212881000.0,3667.0,4.1,22.0,11.0,22.0,3.0,23.0,58.0
MKD,76.0,10.0,11307058382.0,5431.0,1.1,347.0,270.0,1189.0,276.0,42.0,2082.0
MLI,58.0,64.0,15375605992.0,831.0,5.4,8835.0,3577.0,5636.0,466.0,58.0,18512.0
MLT,82.0,6.0,12747857570.0,27239.0,6.5,62.0,50.0,238.0,87.0,5.0,438.0
MMR,67.0,38.0,68945867478.0,1292.0,6.4,14331.0,9692.0,26390.0,2969.0,70.0,53383.0
MNE,77.0,3.0,4856632399.0,7803.0,4.7,115.0,83.0,338.0,91.0,34.0,628.0
MNG,70.0,15.0,11425755280.0,3669.0,5.3,933.0,472.0,1585.0,124.0,32.0,3114.0
MNP,,,1601000000.0,28305.0,25.6,13.0,9.0,31.0,4.0,8.0,57.0
MOZ,59.0,56.0,13219084261.0,461.0,3.7,12880.0,5784.0,9154.0,830.0,65.0,28649.0
MRT,64.0,53.0,6758390729.0,1578.0,3.5,1724.0,824.0,1600.0,134.0,47.0,4283.0
MSR,,,,,,1.0,,3.0,1.0,,5.0
MTQ,,,,,,62.0,46.0,193.0,75.0,,376.0
MUS,75.0,13.0,13259351418.0,10485.0,3.8,232.0,195.0,699.0,138.0,59.0,1264.0
MWI,63.0,37.0,6303292264.0,357.0,4.0,7827.0,3660.0,5715.0,468.0,83.0,17670.0
MYS,76.0,7.0,318958236443.0,10254.0,5.7,7572.0,5652.0,15879.0,2001.0,25.0,31105.0
MYT,,,,,,103.0,48.0,92.0,10.0,,253.0
NAM,63.0,30.0,12741746434.0,5303.0,-0.3,886.0,488.0,940.0,88.0,51.0,2403.0
NCL,77.0,,,,,64.0,44.0,145.0,25.0,30.0,277.0
NER,62.0,49.0,11166063887.0,517.0,5.0,10821.0,4123.0,6098.0,560.0,84.0,21602.0
NGA,54.0,77.0,375745486521.0,1969.0,0.8,84009.0,36344.0,65272.0,5247.0,50.0,190873.0
NIC,74.0,16.0,13785943183.0,2159.0,4.6,1950.0,1200.0,2912.0,323.0,42.0,6385.0
NIU,,,,,,,,1.0,,,2.0
NLD,82.0,3.0,833869641687.0,48675.0,2.9,2784.0,2060.0,8979.0,3199.0,9.0,17021.0
NOR,83.0,2.0,398393955269.0,75497.0,2.3,936.0,678.0,2790.0,892.0,18.0,5296.0
NPL,70.0,28.0,25180583770.0,911.0,8.2,8659.0,6220.0,11188.0,1565.0,81.0,27633.0
NRU,,27.0,109585942.0,8511.0,-5.7,4.0,2.0,4.0,,,11.0
NZL,82.0,5.0,205415864858.0,42849.0,3.2,927.0,648.0,2406.0,721.0,14.0,4702.0
OMN,77.0,10.0,70600000000.0,15131.0,0.3,1028.0,655.0,2873.0,109.0,16.0,4666.0
PAK,67.0,59.0,304567253219.0,1465.0,5.6,73762.0,41525.0,83651.0,8969.0,64.0,207906.0
PAN,78.0,14.0,62219000000.0,15150.0,5.6,1123.0,684.0,1976.0,325.0,33.0,4107.0
