Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_MKTP_CD,NY_GDP_PCAP_CD,NY_GDP_MKTP_KD_ZG,200343,200144,200345,200151,SP_RUR_TOTL_ZS,200101
ABW,76.0,,,,,19.0,15.0,58.0,14.0,57.0,106.0
AFG,64.0,48.0,19484384937.0,524.0,1.8,16017.0,8071.0,12122.0,961.0,75.0,37172.0
AGO,61.0,52.0,101353230785.0,3290.0,-2.0,14422.0,5958.0,9747.0,683.0,34.0,30810.0
AIA,,,,,,3.0,2.0,8.0,1.0,,15.0
ALB,78.0,8.0,15147020535.0,5284.0,4.1,509.0,458.0,1519.0,396.0,40.0,2883.0
ARE,78.0,7.0,422215043585.0,43839.0,1.2,1406.0,1161.0,6959.0,104.0,13.0,9631.0
ARG,77.0,9.0,519871519808.0,11684.0,-2.5,10984.0,7017.0,21428.0,4932.0,8.0,44361.0
ARM,75.0,11.0,12457941907.0,4220.0,5.2,609.0,367.0,1644.0,332.0,37.0,2952.0
ASM,,,636000000.0,11467.0,2.2,17.0,11.0,25.0,3.0,13.0,55.0
ATG,77.0,5.0,1610574074.0,16727.0,7.4,21.0,15.0,52.0,8.0,75.0,96.0
AUS,83.0,3.0,1433904348500.0,57396.0,2.9,4778.0,3118.0,13103.0,3898.0,14.0,24898.0
AUT,82.0,3.0,455508255028.0,51525.0,2.4,1271.0,983.0,4948.0,1690.0,42.0,8891.0
AZE,73.0,19.0,47112941176.0,4740.0,1.5,2325.0,1442.0,5566.0,616.0,44.0,9950.0
BDI,61.0,41.0,3036931818.0,272.0,1.6,5085.0,2157.0,3683.0,251.0,87.0,11175.0
BEL,82.0,3.0,542685915417.0,47491.0,1.5,1958.0,1306.0,6061.0,2157.0,2.0,11482.0
BEN,61.0,61.0,14250985959.0,1241.0,6.7,4875.0,2279.0,3957.0,374.0,53.0,11485.0
BFA,61.0,49.0,16199434625.0,820.0,6.8,8878.0,3960.0,6438.0,475.0,71.0,19751.0
BGD,72.0,25.0,274039092455.0,1698.0,7.9,44711.0,30778.0,77563.0,8324.0,63.0,161377.0
BGR,75.0,6.0,66200847918.0,9424.0,3.1,1029.0,629.0,3911.0,1482.0,25.0,7052.0
BHR,77.0,6.0,37652500000.0,23991.0,2.0,302.0,192.0,1037.0,38.0,11.0,1569.0
BHS,74.0,8.0,12424500000.0,32218.0,1.6,87.0,66.0,205.0,28.0,17.0,386.0
BIH,77.0,5.0,20183498491.0,6072.0,3.7,491.0,403.0,1883.0,547.0,52.0,3324.0
BLM,,,,,,2.0,1.0,5.0,1.0,,10.0
BLR,74.0,3.0,60031262269.0,6330.0,3.1,1594.0,927.0,5528.0,1403.0,21.0,9453.0
BLZ,74.0,11.0,1871200000.0,4885.0,2.1,116.0,78.0,171.0,18.0,54.0,383.0
BMU,82.0,,,,,9.0,7.0,33.0,13.0,,63.0
BOL,71.0,22.0,40287647902.0,3549.0,4.2,3528.0,2161.0,4848.0,817.0,31.0,11353.0
BRA,76.0,13.0,1885482534238.0,9001.0,1.3,44688.0,33923.0,112168.0,18691.0,13.0,209469.0
BRB,79.0,11.0,5086500000.0,17745.0,-0.6,50.0,38.0,154.0,45.0,69.0,287.0
BRN,76.0,10.0,13567351175.0,31628.0,0.1,99.0,70.0,240.0,21.0,22.0,429.0
BTN,71.0,25.0,2446674102.0,3243.0,3.0,194.0,148.0,366.0,45.0,59.0,754.0
BWA,69.0,30.0,18663264706.0,8280.0,4.5,769.0,415.0,975.0,95.0,31.0,2254.0
CAF,53.0,85.0,2220978978.0,476.0,3.8,2067.0,1010.0,1458.0,132.0,59.0,4666.0
CAN,82.0,4.0,1716262621082.0,46313.0,2.0,5884.0,4487.0,20315.0,6389.0,19.0,37075.0
CHE,84.0,4.0,705140620047.0,82818.0,2.8,1271.0,924.0,4742.0,1588.0,26.0,8526.0
CHL,80.0,6.0,298258019275.0,15925.0,3.9,3700.0,2741.0,10129.0,2159.0,12.0,18729.0
CHN,77.0,7.0,13894817110036.0,9977.0,6.8,255221.0,173434.0,843081.0,155912.0,41.0,1427648.0
CIV,57.0,59.0,57724731365.0,2303.0,6.8,10513.0,5180.0,8660.0,717.0,49.0,25069.0
CMR,59.0,51.0,38694095651.0,1534.0,4.1,10750.0,4993.0,8785.0,688.0,44.0,25216.0
COD,60.0,68.0,46831342213.0,557.0,5.8,38811.0,15976.0,26745.0,2537.0,56.0,84068.0
COG,64.0,36.0,11662700148.0,2224.0,1.6,2190.0,979.0,1934.0,141.0,33.0,5244.0
COK,,,,,,4.0,3.0,9.0,2.0,,18.0
COL,77.0,12.0,333568926393.0,6719.0,2.5,11461.0,8715.0,25275.0,4210.0,19.0,49661.0
COM,64.0,51.0,1178530758.0,1416.0,3.4,329.0,163.0,315.0,25.0,71.0,832.0
CPV,73.0,17.0,1966983316.0,3617.0,4.5,156.0,98.0,264.0,25.0,34.0,544.0
CRI,80.0,8.0,60553901420.0,12112.0,2.7,1066.0,788.0,2668.0,477.0,21.0,4999.0
CUB,79.0,4.0,100023000000.0,8822.0,2.2,1838.0,1386.0,6393.0,1722.0,23.0,11338.0
CUW,,,3127908045.0,19574.0,-2.2,31.0,20.0,84.0,27.0,11.0,163.0
CYM,,,5485419417.0,85477.0,3.3,12.0,8.0,38.0,7.0,,64.0
CYP,81.0,2.0,24961995749.0,28690.0,4.1,200.0,171.0,656.0,163.0,33.0,1189.0
CZE,79.0,3.0,244987409831.0,23047.0,2.8,1662.0,978.0,5954.0,2071.0,26.0,10666.0
DEU,81.0,3.0,3949548833953.0,47639.0,1.5,11322.0,8702.0,45260.0,17840.0,23.0,83124.0
DJI,67.0,50.0,3012820410.0,3142.0,8.4,284.0,180.0,452.0,43.0,22.0,959.0
DMA,,33.0,550892593.0,7691.0,2.3,13.0,13.0,39.0,7.0,30.0,72.0
DNK,81.0,4.0,355675329086.0,61391.0,2.4,947.0,731.0,2935.0,1140.0,12.0,5752.0
DOM,74.0,24.0,85555378043.0,8051.0,7.0,2973.0,1911.0,4990.0,753.0,19.0,10627.0
DZA,77.0,20.0,173757952824.0,4115.0,1.4,12731.0,6070.0,20740.0,2687.0,27.0,42228.0
ECU,77.0,12.0,107562008000.0,6296.0,1.3,4789.0,3092.0,7981.0,1223.0,36.0,17084.0
EGY,72.0,18.0,250894760351.0,2549.0,5.3,33266.0,16851.0,43159.0,5147.0,57.0,98424.0
ERI,66.0,31.0,,,,1445.0,624.0,1228.0,155.0,,3453.0
ESH,,,,,,157.0,97.0,296.0,17.0,,567.0
ESP,83.0,3.0,1419735245005.0,30338.0,2.4,6848.0,4478.0,26319.0,9048.0,20.0,46693.0
EST,78.0,2.0,30747159198.0,23258.0,4.8,216.0,124.0,722.0,260.0,31.0,1323.0
ETH,66.0,39.0,84269348327.0,772.0,6.8,44545.0,23648.0,37207.0,3824.0,79.0,109224.0
FIN,82.0,1.0,275893681356.0,50021.0,1.6,892.0,624.0,2807.0,1200.0,15.0,5523.0
FJI,67.0,22.0,5536759653.0,6267.0,3.5,261.0,145.0,429.0,48.0,44.0,883.0
FLK,,,,,,1.0,,2.0,1.0,,3.0
FRA,83.0,3.0,2787863958885.0,41631.0,1.8,11670.0,7554.0,32746.0,13021.0,20.0,64991.0
FRO,83.0,,,,,10.0,7.0,23.0,9.0,58.0,48.0
FSM,68.0,26.0,401932300.0,3568.0,0.2,36.0,24.0,49.0,5.0,77.0,113.0
GAB,66.0,33.0,16862282414.0,7957.0,0.8,785.0,367.0,892.0,76.0,11.0,2119.0
GBR,81.0,4.0,2860667727552.0,43043.0,1.3,11869.0,7867.0,35054.0,12351.0,17.0,67142.0
GEO,74.0,9.0,17599700091.0,4723.0,4.9,792.0,471.0,2145.0,595.0,41.0,4003.0
GHA,64.0,35.0,65556464048.0,2202.0,6.3,11191.0,5792.0,11870.0,914.0,44.0,29767.0
GIB,,,,,,7.0,5.0,16.0,6.0,,34.0
GIN,61.0,65.0,12207116729.0,983.0,6.2,5444.0,2657.0,3950.0,363.0,64.0,12414.0
GLP,,,,,,77.0,55.0,195.0,73.0,,400.0
GMB,62.0,39.0,1624600882.0,713.0,6.5,1009.0,463.0,749.0,59.0,39.0,2280.0
GNB,58.0,54.0,1458156026.0,778.0,3.8,794.0,371.0,656.0,53.0,57.0,1874.0
GNQ,58.0,63.0,13278488567.0,10144.0,-6.4,486.0,245.0,546.0,32.0,28.0,1309.0
GRC,82.0,4.0,218138367445.0,20324.0,1.9,1481.0,1061.0,5702.0,2279.0,21.0,10522.0
GRD,72.0,14.0,1168696296.0,10486.0,4.1,26.0,17.0,57.0,11.0,64.0,111.0
GRL,,,3051626390.0,54471.0,3.2,12.0,8.0,32.0,5.0,13.0,57.0
GTM,74.0,22.0,73118147808.0,4473.0,3.2,5939.0,3655.0,6823.0,830.0,49.0,17248.0
GUF,,,,,,92.0,50.0,127.0,14.0,,283.0
GUM,80.0,,5920000000.0,35713.0,-0.3,41.0,28.0,81.0,16.0,5.0,166.0
GUY,70.0,25.0,3878662621.0,4979.0,4.1,220.0,157.0,352.0,50.0,73.0,779.0
HKG,85.0,,361693053518.0,48543.0,2.9,877.0,710.0,4540.0,1244.0,,7372.0
HND,75.0,15.0,24024189736.0,2506.0,3.7,3043.0,2022.0,4073.0,450.0,43.0,9588.0
HRV,78.0,4.0,60991399904.0,14920.0,2.7,603.0,454.0,2250.0,850.0,43.0,4156.0
HTI,64.0,49.0,9658721170.0,868.0,1.5,3698.0,2179.0,4696.0,551.0,45.0,11123.0
HUN,76.0,4.0,157882912778.0,16151.0,5.1,1399.0,1052.0,5396.0,1860.0,29.0,9707.0
IDN,72.0,21.0,1042240309413.0,3894.0,5.2,71070.0,45402.0,135521.0,15678.0,45.0,267671.0
IMN,,,,,,13.0,10.0,43.0,18.0,47.0,84.0
IND,69.0,30.0,2713165057513.0,2006.0,6.1,365934.0,246377.0,656738.0,83593.0,66.0,1352642.0
IRL,82.0,3.0,382674360766.0,78621.0,8.2,1032.0,573.0,2546.0,668.0,37.0,4819.0
IRN,76.0,12.0,,,,20022.0,11383.0,45336.0,5059.0,25.0,81800.0
IRQ,70.0,22.0,224228010478.0,5834.0,-0.6,14753.0,7679.0,14724.0,1277.0,30.0,38434.0
ISL,83.0,2.0,25737594325.0,72969.0,3.8,67.0,45.0,175.0,50.0,6.0,337.0
ISR,83.0,3.0,370587977154.0,41720.0,3.5,2341.0,1246.0,3791.0,1004.0,8.0,8382.0
ITA,83.0,3.0,2085764300862.0,34520.0,0.8,8081.0,5837.0,32915.0,13794.0,30.0,60627.0
JAM,74.0,12.0,15713908816.0,5354.0,1.9,697.0,520.0,1460.0,258.0,44.0,2935.0
JOR,74.0,14.0,42231295775.0,4242.0,1.9,3413.0,1926.0,4243.0,383.0,9.0,9965.0
KAZ,73.0,9.0,179339994859.0,9813.0,4.1,5214.0,2291.0,9460.0,1354.0,43.0,18320.0
KEN,66.0,31.0,87778582964.0,1708.0,6.3,20445.0,10609.0,19136.0,1202.0,73.0,51393.0
KGZ,71.0,17.0,8271108638.0,1308.0,3.8,2039.0,1035.0,2947.0,283.0,64.0,6304.0
KHM,70.0,24.0,24571753583.0,1512.0,7.5,5070.0,3080.0,7357.0,742.0,77.0,16250.0
