ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_T,AGE_YTHADULT_YGE15,2014,7.9145,,,,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_T,AGE_YTHADULT_Y15-64,2014,7.964,,,,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_T,AGE_YTHADULT_Y15-24,2014,9.9628,,,,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_T,AGE_YTHADULT_YGE25,2014,6.773,,,,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_M,AGE_YTHADULT_YGE15,2014,7.1962,,,,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_M,AGE_YTHADULT_Y15-64,2014,7.2419,,,,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_M,AGE_YTHADULT_Y15-24,2014,8.8639,,,,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_M,AGE_YTHADULT_YGE25,2014,6.362,,,,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_F,AGE_YTHADULT_YGE15,2014,10.1117,,,,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_F,AGE_YTHADULT_Y15-64,2014,10.128,,,,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_F,AGE_YTHADULT_Y15-24,2014,12.5539,,,,R1:3513
AFG,SDG_0852_SEX_AGE_RT,BB:6361,SEX_F,AGE_YTHADULT_YGE25,2014,8.2501,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_T,AGE_YTHADULT_YGE15,2004,23.6427,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_T,AGE_YTHADULT_Y15-64,2004,24.1825,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_T,AGE_YTHADULT_Y15-24,2004,54.3108,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_T,AGE_YTHADULT_YGE25,2004,11.394,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_M,AGE_YTHADULT_YGE15,2004,21.3064,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_M,AGE_YTHADULT_Y15-64,2004,21.8911,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_M,AGE_YTHADULT_Y15-24,2004,51.1291,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_M,AGE_YTHADULT_YGE25,2004,10.2943,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_F,AGE_YTHADULT_YGE15,2004,26.133,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_F,AGE_YTHADULT_Y15-64,2004,26.609,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_F,AGE_YTHADULT_Y15-24,2004,57.3373,,,,R1:3513
AGO,SDG_0852_SEX_AGE_RT,BB:13366,SEX_F,AGE_YTHADULT_YGE25,2004,12.6208,,,,R1:3513
