ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-64,2015,17.5806,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-64,2016,15.8059,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-64,2017,13.9826,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-64,2018,12.7767,,,,R1:3513
ALB,SDG_0852_SEX_AGE_RT,BA:480,SEX_T,AGE_YTHADULT_Y15-64,2019,11.9473,,,,R1:3513
ARE,SDG_0852_SEX_AGE_RT,BA:716,SEX_T,AGE_YTHADULT_Y15-64,2017,2.469,,,,R1:3513
ARE,SDG_0852_SEX_AGE_RT,BA:716,SEX_T,AGE_YTHADULT_Y15-64,2019,2.238,,,,R1:3513
ARG,SDG_0852_SEX_AGE_RT,BA:150,SEX_T,AGE_YTHADULT_Y15-64,2017,8.5335,,,,R1:3513_S4:33
ARG,SDG_0852_SEX_AGE_RT,BA:150,SEX_T,AGE_YTHADULT_Y15-64,2018,9.3666,,,,R1:3513_S4:33
ARG,SDG_0852_SEX_AGE_RT,BA:150,SEX_T,AGE_YTHADULT_Y15-64,2019,10.0923,,,,R1:3513_S4:33
ARM,SDG_0852_SEX_AGE_RT,BA:867,SEX_T,AGE_YTHADULT_Y15-64,2015,18.8186,,,,R1:3513_T3:240
ARM,SDG_0852_SEX_AGE_RT,BA:867,SEX_T,AGE_YTHADULT_Y15-64,2016,18.1652,,,,R1:3513_T3:240
ARM,SDG_0852_SEX_AGE_RT,BA:867,SEX_T,AGE_YTHADULT_Y15-64,2017,18.2708,,,,R1:3513_T3:240
ARM,SDG_0852_SEX_AGE_RT,BA:867,SEX_T,AGE_YTHADULT_Y15-64,2018,19.3374,,,,R1:3513_T3:240
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_Y15-64,2015,6.2178,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_Y15-64,2016,5.8676,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_Y15-64,2017,5.7566,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_Y15-64,2018,5.4573,,,,
AUS,SDG_0852_SEX_AGE_RT,BA:518,SEX_T,AGE_YTHADULT_Y15-64,2019,5.3104,,,,
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_Y15-64,2015,5.8226,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_Y15-64,2016,6.1113,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_Y15-64,2017,5.5785,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_Y15-64,2018,4.9212,,,,R1:2384
AUT,SDG_0852_SEX_AGE_RT,BA:536,SEX_T,AGE_YTHADULT_Y15-64,2019,4.5524,,,,R1:2384
AZE,SDG_0852_SEX_AGE_RT,BA:125,SEX_T,AGE_YTHADULT_Y15-64,2015,4.99,,,,S3:24_S5:38
AZE,SDG_0852_SEX_AGE_RT,BA:125,SEX_T,AGE_YTHADULT_Y15-64,2019,4.89,,,,S14:4077_S3:24_S5:38
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_Y15-64,2015,8.5637,,,,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_Y15-64,2016,7.888,,,,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_Y15-64,2017,7.1472,B,,I11:264,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_Y15-64,2018,6.0033,,,,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_Y15-64,2019,5.4095,,,,R1:2384
BFA,SDG_0852_SEX_AGE_RT,BA:15678,SEX_T,AGE_YTHADULT_Y15-64,2018,4.8202,,,,R1:3513_T2:239_T3:240
BGD,SDG_0852_SEX_AGE_RT,BA:673,SEX_T,AGE_YTHADULT_Y15-64,2016,4.5,,,,S5:38
BGD,SDG_0852_SEX_AGE_RT,BA:673,SEX_T,AGE_YTHADULT_Y15-64,2017,4.5476,,,,R1:3513
