ref_area,indicator,source,sex,classif1,time,obs_value
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2000,64.8081056
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2000,67.71002992
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2000,63.63404353
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_M,AGE_YTHADULT_YGE15,2000,63.42463262
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_M,AGE_YTHADULT_Y15-24,2000,66.9046224
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_M,AGE_YTHADULT_YGE25,2000,62.04107964
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_F,AGE_YTHADULT_YGE15,2000,72.99273709
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_F,AGE_YTHADULT_Y15-24,2000,72.09491108
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_F,AGE_YTHADULT_YGE25,2000,73.39475983
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE15,2001,65.28821256
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_Y15-24,2001,68.1499203
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_T,AGE_YTHADULT_YGE25,2001,64.10979896
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_M,AGE_YTHADULT_YGE15,2001,63.90912921
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_M,AGE_YTHADULT_Y15-24,2001,67.34121955
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_M,AGE_YTHADULT_YGE25,2001,62.52334627
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_F,AGE_YTHADULT_YGE15,2001,73.37810153
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_F,AGE_YTHADULT_Y15-24,2001,72.47671117
AFG,SDG_0111_SEX_AGE_RT,XA:2198,SEX_F,AGE_YTHADULT_YGE25,2001,73.79320166
